"certificate","volume_MWh","order_folder","contract","minerID","contract_country","certificate_country","country_match","contract_region","certificate_region","region_match","contract_start","certificate_start","start_match","contract_end","certificate_end","end_match","cert_within_contract","country_region_and_certWithinContract"
"US_GreenE_622MWh_2021Q1_certificate_1",1,"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_contract_1","f01045784","US","US",true,"","",true,"2021-01-01","2021-01-01T00:00:00.000Z",true,"2021-12-31","2021-03-31T23:59:59.999Z",false,true,true
"US_GreenE_622MWh_2021Q1_certificate_1",1,"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_contract_1","f0728347","US","US",true,"","",true,"2021-01-01","2021-01-01T00:00:00.000Z",true,"2021-12-31","2021-03-31T23:59:59.999Z",false,true,true
"US_GreenE_622MWh_2021Q1_certificate_1",18,"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_contract_1","f0678914","US","US",true,"","",true,"2021-01-01","2021-01-01T00:00:00.000Z",true,"2021-12-31","2021-03-31T23:59:59.999Z",false,true,true
"US_GreenE_622MWh_2021Q1_certificate_1",108,"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_contract_1","f0763337","US","US",true,"","",true,"2021-01-01","2021-01-01T00:00:00.000Z",true,"2021-12-31","2021-03-31T23:59:59.999Z",false,true,true
"US_GreenE_622MWh_2021Q1_certificate_1",14,"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_contract_1","f0828066","US","US",true,"","",true,"2021-01-01","2021-01-01T00:00:00.000Z",true,"2021-12-31","2021-03-31T23:59:59.999Z",false,true,true
"US_GreenE_622MWh_2021Q1_certificate_1",20,"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_contract_1","f01051828","US","US",true,"","",true,"2021-01-01","2021-01-01T00:00:00.000Z",true,"2021-12-31","2021-03-31T23:59:59.999Z",false,true,true
"US_GreenE_622MWh_2021Q1_certificate_1",24,"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_contract_1","f022142","US","US",true,"","",true,"2021-01-01","2021-01-01T00:00:00.000Z",true,"2021-12-31","2021-03-31T23:59:59.999Z",false,true,true
"US_GreenE_622MWh_2021Q1_certificate_1",83,"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_contract_1","f066596","US","US",true,"","",true,"2021-01-01","2021-01-01T00:00:00.000Z",true,"2021-12-31","2021-03-31T23:59:59.999Z",false,true,true
"US_GreenE_622MWh_2021Q1_certificate_1",18,"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_contract_1","f01278","US","US",true,"","",true,"2021-01-01","2021-01-01T00:00:00.000Z",true,"2021-12-31","2021-03-31T23:59:59.999Z",false,true,true
"NO_GO_98MWh_2020_2021_certificate_2",96,"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_contract_3","f01234","NO","NO",true,"","",true,"2021-01-01","2021-04-03T00:00:00.000Z",false,"2021-12-31","2021-04-03T23:59:59.999Z",false,true,true
"NO_GO_93MWh_2021_certificate_1",93,"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_contract_3","f0720636","NO","DK",false,"","",true,"2021-01-01","2021-03-04T00:00:00.000Z",false,"2021-12-31","2021-03-04T23:59:59.999Z",false,true,false
"NO_GO_29MWh_2021_certificate_1",29,"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_contract_3","f02576","NO","DK",false,"","",true,"2021-01-01","2021-03-04T00:00:00.000Z",false,"2021-12-31","2021-03-04T23:59:59.999Z",false,true,false
"CN_IREC_168MWh_2021_certificate_1",168,"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_contract_4","f01051178","CN","CN",true,"","",true,"2021-01-01","2021-01-01T00:00:00.000Z",true,"2021-12-31","2021-04-30T23:59:59.999Z",false,true,true
"NO_GO_98MWh_2020_2021_certificate_1",2,"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_contract_5","f01234","NO","NO",true,"","",true,"2020-01-01","2020-10-01T00:00:00.000Z",false,"2020-12-31","2020-10-01T23:59:59.999Z",false,true,true
"NO_GO_6MWh_2020_certificate_1",6,"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_contract_5","f02576","NO","NO",true,"","",true,"2020-01-01","2020-10-01T00:00:00.000Z",false,"2020-12-31","2020-10-01T23:59:59.999Z",false,true,true
