"certificate","volume_MWh","order_folder","allocation"
"US_GreenE_622MWh_2021Q1_certificate_1",1,"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_allocation_1"
"US_GreenE_622MWh_2021Q1_certificate_1",1,"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_allocation_2"
"US_GreenE_622MWh_2021Q1_certificate_1",18,"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_allocation_3"
"US_GreenE_622MWh_2021Q1_certificate_1",108,"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_allocation_4"
"US_GreenE_622MWh_2021Q1_certificate_1",14,"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_allocation_5"
"US_GreenE_622MWh_2021Q1_certificate_1",20,"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_allocation_6"
"US_GreenE_622MWh_2021Q1_certificate_1",24,"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_allocation_7"
"US_GreenE_622MWh_2021Q1_certificate_1",83,"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_allocation_8"
"US_GreenE_622MWh_2021Q1_certificate_1",18,"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_allocation_9"
"NO_GO_98MWh_2020_2021_certificate_2",96,"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_allocation_13"
"NO_GO_93MWh_2021_certificate_1",93,"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_allocation_14"
"NO_GO_29MWh_2021_certificate_1",29,"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_allocation_15"
"CN_IREC_168MWh_2021_certificate_1",168,"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_allocation_16"
"NO_GO_98MWh_2020_2021_certificate_1",2,"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_allocation_17"
"NO_GO_6MWh_2020_certificate_1",6,"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_allocation_18"
