Environmental Product, Quantity ,Reporting Year / Vintage,Region/Country of Retirement,Retirement Notes,,
I-REC - China Wind and/or Solar,"            1,738 ",August 2021, N/A,Filecoin ID:: f0127595,,
I-REC - China Wind and/or Solar,"            3,373 ",July 2021,N/A,Filecoin ID:: f0127595,,
I-REC - China Wind and/or Solar,"            1,547 ",May 2021,N/A,Filecoin ID:: f0127595,,
I-REC - China Wind and/or Solar,"            1,497 ",June 2021,N/A,Filecoin ID:: f0127595,,
I-REC - China Wind and/or Solar,"            3,066 ",August 2021,N/A,Filecoin ID:: f0688165,,
I-REC - China Wind and/or Solar,"            4,685 ",April 2021,N/A,Filecoin ID:: f0127595,,
I-REC - China Wind and/or Solar,"            1,070 ",May 2021,N/A,Filecoin ID:: f0128559,,
I-REC - China Wind and/or Solar,"            1,070 ",July 2021,N/A,Filecoin ID:: f0128559,,
I-REC - China Wind and/or Solar,"            1,070 ",August 2021,N/A,Filecoin ID:: f0128559,,
I-REC - China Wind and/or Solar,"            6,290 ",July 2021,N/A,Filecoin ID:: f0688165,,
I-REC - China Wind and/or Solar,"            1,035 ",June 2021,N/A,Filecoin ID:: f0128559,,
I-REC - China Wind and/or Solar,               952 ,January 2021,N/A,Filecoin ID:: f02770,,
I-REC - China Wind and/or Solar,               952 ,May 2021,N/A,Filecoin ID:: f02770,,
I-REC - China Wind and/or Solar,               952 ,July 2021,N/A,Filecoin ID:: f02770,,
I-REC - China Wind and/or Solar,               952 ,August 2021,N/A,Filecoin ID:: f02770,,
I-REC - China Wind and/or Solar,               950 ,March 2021,N/A,Filecoin ID:: f02770,,
I-REC - China Wind and/or Solar,"            1,590 ",7/1/20 - 3/31/21,N/A,Filecoin ID:: f02770,,
I-REC - China Wind and/or Solar,               921 ,April 2021,N/A,Filecoin ID:: f02770,,
I-REC - China Wind and/or Solar,               921 ,June 2021,N/A,Filecoin ID:: f02770,,
I-REC - China Wind and/or Solar,"            5,946 ",March 2021,N/A,Filecoin ID:: f0127595,,
I-REC - China Wind and/or Solar,"            3,658 ",April 2021,N/A,Filecoin ID:: f0128559,,
I-REC - China Wind and/or Solar,               860 ,February 2021,N/A,Filecoin ID:: f02770,,
I-REC - China Wind and/or Solar,"            3,455 ",7/1/20 - 3/31/21,N/A,Filecoin ID:: f02770,,
I-REC - China Wind and/or Solar,"            3,752 ",March 2021,N/A,Filecoin ID:: f0128559,,
I-REC - China Wind and/or Solar,"            3,545 ",June 2021,N/A,Filecoin ID:: f0688165,,
I-REC - China Wind and/or Solar,"            3,651 ",7/1/20 - 3/31/21,N/A,Filecoin ID:: f02770,,
I-REC - China Wind and/or Solar,"            4,497 ",February 2021,N/A,Filecoin ID:: f0127595,,
I-REC - China Wind and/or Solar,"            2,926 ",May 2021,N/A,Filecoin ID:: f0688165,,
I-REC - China Wind and/or Solar,               268 ,7/1/20 - 3/31/21,N/A,Filecoin ID:: f02775,,
I-REC - China Wind and/or Solar,               265 ,March 2021,N/A,Filecoin ID:: f02775,,
I-REC - China Wind and/or Solar,               265 ,7/1/20 - 3/31/21,N/A,Filecoin ID:: f02775,,
I-REC - China Wind and/or Solar,               265 ,January 2021,N/A,Filecoin ID:: f02775,,
I-REC - China Wind and/or Solar,               265 ,May 2021,N/A,Filecoin ID:: f02775,,
I-REC - China Wind and/or Solar,               265 ,July 2021,N/A,Filecoin ID:: f02775,,
