"tranche_id","productType","energySources","contractDate","deliveryDate","reportingStart","reportingEnd","sellerName","sellerAddress","country","region","volume_MWh","step2_order_complete","step3_match_complete","step4_contract_complete","step5_attestation_complete","step6_IPLDrecord_complete","step7_transaction_complete","step8_volta_complete","step9_finalRecord_complete"
"20211115_3D_PL_transaction_1_line_1","IREC","wind, solar","2021-11-15","2022-04-15","2021-08-01","2021-08-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","","            1,738 ",1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_2","IREC","wind, solar","2021-11-15","2022-04-15","2021-07-01","2021-07-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","","            3,373 ",1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_3","IREC","wind, solar","2021-11-15","2022-04-15","2021-05-01","2021-05-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","","            1,547 ",1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_4","IREC","wind, solar","2021-11-15","2022-04-15","2021-06-01","2021-06-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","","            1,497 ",1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_5","IREC","wind, solar","2021-11-15","2022-04-15","2021-08-01","2021-08-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","","            3,066 ",1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_6","IREC","wind, solar","2021-11-15","2022-04-15","2021-04-01","2021-04-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","","            4,685 ",1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_7","IREC","wind, solar","2021-11-15","2022-04-15","2021-05-01","2021-05-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","","            1,070 ",1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_8","IREC","wind, solar","2021-11-15","2022-04-15","2021-07-01","2021-07-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","","            1,070 ",1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_9","IREC","wind, solar","2021-11-15","2022-04-15","2021-08-01","2021-08-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","","            1,070 ",1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_10","IREC","wind, solar","2021-11-15","2022-04-15","2021-07-01","2021-07-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","","            6,290 ",1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_11","IREC","wind, solar","2021-11-15","2022-04-15","2021-06-01","2021-06-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","","            1,035 ",1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_12","IREC","wind, solar","2021-11-15","2022-04-15","2021-01-01","2021-01-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","",952,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_13","IREC","wind, solar","2021-11-15","2022-04-15","2021-05-01","2021-05-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","",952,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_14","IREC","wind, solar","2021-11-15","2022-04-15","2021-07-01","2021-07-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","",952,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_15","IREC","wind, solar","2021-11-15","2022-04-15","2021-08-01","2021-08-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","",952,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_16","IREC","wind, solar","2021-11-15","2022-04-15","2021-03-01","2021-03-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","",950,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_17","IREC","wind, solar","2021-11-15","2022-04-15","2020-07-01","2021-03-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","","            1,590 ",1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_18","IREC","wind, solar","2021-11-15","2022-04-15","2021-04-01","2021-04-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","",921,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_19","IREC","wind, solar","2021-11-15","2022-04-15","2021-06-01","2021-06-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","",921,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_20","IREC","wind, solar","2021-11-15","2022-04-15","2021-03-01","2021-03-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","","            5,946 ",1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_21","IREC","wind, solar","2021-11-15","2022-04-15","2021-04-01","2021-04-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","","            3,658 ",1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_22","IREC","wind, solar","2021-11-15","2022-04-15","2021-02-01","2021-02-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","",860,1,1,0,0,0,0,0,0
