"allocation_id","UUID","contract_id","minerID","volume_MWh","defaulted","step4_ZL_contract_complete","step5_redemption_data_complete","step6_attestation_info_complete","step7_certificates_matched_to_supply","step8_IPLDrecord_complete","step9_transaction_complete","step10_volta_complete","step11_finalRecord_complete","allocation_cid"
"20211115_3D_PL_transaction_1_allocation_1","3511aee8-c25c-48df-b930-719e8dfe2cea","20211115_3D_PL_transaction_1_contract_1","f0127595",1738,0,0,0,0,0,0,0,0,0,"bafyreidi3ukrbuw7fzogszgqbq3tdabdy67v6gh2q5irtkunhurhhv7xrm"
"20211115_3D_PL_transaction_1_allocation_2","92fa928e-43cd-4eb5-92df-d7114e0c4a1c","20211115_3D_PL_transaction_1_contract_2","f0127595",3373,0,0,0,0,0,0,0,0,0,"bafyreidjxbcs7acaa7ipql63h22ww7wpdks4lswa2pzdnvoqyn4o6nlwqq"
"20211115_3D_PL_transaction_1_allocation_3","04f0738c-0ae3-40e3-bf80-e5401ce72559","20211115_3D_PL_transaction_1_contract_3","f0127595",1547,0,0,0,0,0,0,0,0,0,"bafyreig3arps63miudetbmaebrucrmjhxtfky2mtivixx3gvvto4ve5cf4"
"20211115_3D_PL_transaction_1_allocation_4","42c88b3e-e02f-4cf6-a69e-0e975091f313","20211115_3D_PL_transaction_1_contract_4","f0127595",1497,0,0,0,0,0,0,0,0,0,"bafyreiby5wpwenbjmq5twihgsysspqlplb6e7hecooii7oceomx3q554wa"
"20211115_3D_PL_transaction_1_allocation_5","60f77862-0bea-41f7-80ce-3ea218f5a36f","20211115_3D_PL_transaction_1_contract_5","f0688165",3066,0,0,0,0,0,0,0,0,0,"bafyreihvjq6jkczippo6mfyt4kw5astg43rzdonazqnlg66nzsej7oxe44"
"20211115_3D_PL_transaction_1_allocation_6","a2ef4c02-5f79-4da2-8c36-45acdcfb1939","20211115_3D_PL_transaction_1_contract_6","f0127595",4685,0,0,0,0,0,0,0,0,0,"bafyreidpvfvkiuzttmuswvxqcbhlv5ud5g4emriqr7srdjal5vvzzjlcuu"
"20211115_3D_PL_transaction_1_allocation_7","4057aa0c-66a5-4bcf-9a51-4f2ff671e837","20211115_3D_PL_transaction_1_contract_7","f0128559",1070,0,0,0,0,0,0,0,0,0,"bafyreie5b25mok35xpc5ra2bc2pkjmfxycwb2rfxkrqy3bheacx72wszlm"
"20211115_3D_PL_transaction_1_allocation_8","f8f99a1d-8fa4-4ffe-bff6-dcdf8b28ccc7","20211115_3D_PL_transaction_1_contract_8","f0128559",1070,0,0,0,0,0,0,0,0,0,"bafyreia5jomiiwrzzcsbap4xr5hcgfpf7w45wmge34yiq7fh6nupjdyuzu"
"20211115_3D_PL_transaction_1_allocation_9","c7d6a3f0-88b5-4c6b-babb-d35354384414","20211115_3D_PL_transaction_1_contract_9","f0128559",1070,0,0,0,0,0,0,0,0,0,"bafyreihx2xkxoxwjhgwe7ehwz4q7hjmcdrfbuc5j6h7i43p4473bf5jnbi"
"20211115_3D_PL_transaction_1_allocation_10","a5c176a0-1ccf-4b43-8451-aaa0bb542bd1","20211115_3D_PL_transaction_1_contract_10","f0688165",6290,0,0,0,0,0,0,0,0,0,"bafyreie75lphmcp2zza5ylctklgnabyww6gkdr3uccz4u4z3x3jg346fe4"
