"attestation_id","smart_contract_address","batchID","network","zl_protocol_version","minerID","beneficiary","redemption_purpose","attestation_folder"
"20211115_3D_PL_transaction_1_attestation_1",,,246,,,,,"20211231_3D_delivery"
"20211115_3D_PL_transaction_1_attestation_2",,,246,,,,,"20211231_3D_delivery"
"20211115_3D_PL_transaction_1_attestation_3",,,246,,,,,"20211231_3D_delivery"
"20211115_3D_PL_transaction_1_attestation_4",,,246,,,,,"20211231_3D_delivery"
"20211115_3D_PL_transaction_1_attestation_5",,,246,,,,,"20211231_3D_delivery"
"20211115_3D_PL_transaction_1_attestation_6",,,246,,,,,"20211231_3D_delivery"
"20211115_3D_PL_transaction_1_attestation_7",,,246,,,,,"20211231_3D_delivery"
"20211115_3D_PL_transaction_1_attestation_8",,,246,,,,,"20211231_3D_delivery"
"20211115_3D_PL_transaction_1_attestation_9",,,246,,,,,"20211231_3D_delivery"
"20211115_3D_PL_transaction_1_attestation_10",,,246,,,,,"20211231_3D_delivery"
"20211115_3D_PL_transaction_1_attestation_11",,,246,,,,,"20211231_3D_delivery"
"20211115_3D_PL_transaction_1_attestation_12",,,246,,,,,"20211231_3D_delivery"
"20211115_3D_PL_transaction_1_attestation_13",,,246,,,,,"20211231_3D_delivery"
"20211115_3D_PL_transaction_1_attestation_14",,,246,,,,,"20211231_3D_delivery"
