attestation_id,redemption_process,contract_id,allocation_id,smart_contract_address,batchID,network,zl_protocol_version,minerID,beneficiary,beneficiary_country,beneficiary_location,supply_country,volume_required,start_date,end_date,redemption_purpose,attestation_folder
20211115_3D_PL_transaction_1_attestation_1,,,,,0xf413ea26d3cb7f2c55768edf0bddf26cfff3df3fac2cfd4c3c492080a2d155ec,246,,,,,,,,,,,20211231_3D_delivery
20211115_3D_PL_transaction_1_attestation_2,,,,,0xcbb8c79cbb7a7c204dfed28777454d9a6594956e115984c24c0c8e0ab6391f98,246,,,,,,,,,,,20211231_3D_delivery
20211115_3D_PL_transaction_1_attestation_3,,,,,0x0db53fc816242d26068824b33fb3376b557e082b81c256e028ad2a54f0bb826b,246,,,,,,,,,,,20211231_3D_delivery
20211115_3D_PL_transaction_1_attestation_4,,,,,0xb887fd624aefbe8f443add1fdd4ed95935d96d3ae656fbe8dbc9a048dae48c23,246,,,,,,,,,,,20211231_3D_delivery
20211115_3D_PL_transaction_1_attestation_5,,,,,0x0097b4a5e5204c0a212bc82da8dbc2cb052e5528a9412c6644aa3cdf9f9c2332,246,,,,,,,,,,,20211231_3D_delivery
20211115_3D_PL_transaction_1_attestation_6,,,,,0x0a728a814740389c072c5102ab594fe4cd2a8497825b73206b3ee09dad5f7c67,246,,,,,,,,,,,20211231_3D_delivery
20211115_3D_PL_transaction_1_attestation_7,,,,,0x303a471f4cd267df454f90719802ffb0ca79b920cf05edfd8ef95da97635b265,246,,,,,,,,,,,20211231_3D_delivery
20211115_3D_PL_transaction_1_attestation_8,,,,,0x13b5536ac74d8948b64a34150646d213ae402d41a5456c03080c9747124e20e9,246,,,,,,,,,,,20211231_3D_delivery
20211115_3D_PL_transaction_1_attestation_9,,,,,0x7af4d8c07cc6399a204f4d483566c8683c5e4accd1f14a2567ed43101d06a3e6,246,,,,,,,,,,,20211231_3D_delivery
20211115_3D_PL_transaction_1_attestation_10,,,,,0xcaa13e5d7cd728bc46146d91458e92963f53fc17c07ce3cd44f4d482866a906e,246,,,,,,,,,,,20211231_3D_delivery
20211115_3D_PL_transaction_1_attestation_11,,,,,0xb3329c2f7d0d3fd97db447e77dc1535446346ab504a95d7522b24f6d54254a0e,246,,,,,,,,,,,20211231_3D_delivery
20211115_3D_PL_transaction_1_attestation_12,,,,,0x3c5638513050f471f93e83dfba5cf6cf8a30378353ab33489d3109757a75a0ff,246,,,,,,,,,,,20211231_3D_delivery
20211115_3D_PL_transaction_1_attestation_13,,,,,0x52d7718bcb2104bf11655820835a335992f96d8fe9afc563147daa33fed6d51c,246,,,,,,,,,,,20211231_3D_delivery
20211115_3D_PL_transaction_1_attestation_14,,,,,0xa184a873e16e72717ea2f961504c960e2c13a28eee747c2d9fb127a8687e4033,246,,,,,,,,,,,20211231_3D_delivery
