contract_id,minerID,volume_MWh,attestation_id,defaulted,step4_ZL_contract_complete,step5_redemption_data_complete,step6_attestation_info_complete,step7_certificates_matched_to_supply,step8_IPLDrecord_complete,step9_transaction_complete,step10_volta_complete,step11_finalRecord_complete
20211115_3D_PL_transaction_1_line_1,f0127595,"1,738",,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_2,f0127595,"3,373",,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_3,f0127595,"1,547",,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_4,f0127595,"1,497",,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_5,f0688165,"3,066",,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_6,f0127595,"4,685",,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_7,f0128559,"1,070",,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_8,f0128559,"1,070",,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_9,f0128559,"1,070",,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_10,f0688165,"6,290",,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_11,f0128559,"1,035",,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_12,f02770,952,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_13,f02770,952,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_14,f02770,952,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_15,f02770,952,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_16,f02770,950,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_17,f02770,"1,590",,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_18,f02770,921,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_19,f02770,921,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_20,f0127595,"5,946",,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_21,f0128559,"3,658",,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_22,f02770,860,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_23,f02770,"3,455",,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_24,f0128559,"3,752",,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_25,f0688165,"3,545",,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_26,f02770,"3,651",,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_27,f0127595,"4,497",,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_28,f0688165,"2,926",,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_29,f02775,268,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_30,f02775,265,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_31,f02775,265,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_32,f02775,265,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_33,f02775,265,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_34,f02775,265,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_35,f02775,265,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_36,f0128559,"2,968",,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_37,f02775,257,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_38,f02775,257,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_39,f02775,257,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_40,f02775,240,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_41,f02775,"2,492",,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_42,f02770,"1,985",,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_43,f0127595,"1,958",,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_44,f0688165,"1,809",,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_45,f0128559,"1,356",,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_46,f0720636,90,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_47,f01051178,124,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_48,f01051178,20,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_49,f0763337,130,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_50,f01234,32,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_51,f01234,31,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_52,f066596,54,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_53,f066596,24,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_54,f066596,13,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_55,f066596,13,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_56,f066596,13,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_57,f066596,14,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_58,f066596,15,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_59,f0720636,102,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_60,f01051828,15,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_61,f01051828,3,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_62,f01234,15,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_63,f01234,26,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_64,f01234,18,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_65,f014365,2,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_66,f01234,2,,0,0,0,0,0,0,0,0,0
