"certificate","volume_MWh","order_folder","allocation"
"AU_LGC_14MWh_year2021_certificate_1",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_101"
"AU_LGC_14MWh_year2021_certificate_1",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_102"
"AU_LGC_14MWh_year2021_certificate_1",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_103"
"AU_LGC_14MWh_year2021_certificate_1",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_104"
"AU_LGC_14MWh_year2021_certificate_1",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_105"
"AU_LGC_14MWh_year2021_certificate_1",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_106"
"AU_LGC_14MWh_year2021_certificate_1",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_107"
"AU_LGC_14MWh_year2021_certificate_1",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_108"
"AU_LGC_14MWh_year2021_certificate_1",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_109"
"AU_LGC_14MWh_year2021_certificate_1",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_110"
"AU_LGC_14MWh_year2021_certificate_1",2,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_65"
"AU_LGC_14MWh_year2021_certificate_1",2,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_100"
"CA_GreenE_34MWh_Dec2020_to_June2021_certificate_2",2,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_115"
"CA_GreenE_34MWh_Dec2020_to_June2021_certificate_2",3,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_162"
"CA_GreenE_34MWh_Dec2020_to_June2021_certificate_3",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_116"
"CA_GreenE_34MWh_Dec2020_to_June2021_certificate_3",5,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_163"
"CA_GreenE_34MWh_Dec2020_to_June2021_certificate_4",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_117"
"CA_GreenE_34MWh_Dec2020_to_June2021_certificate_4",5,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_164"
"CA_GreenE_34MWh_Dec2020_to_June2021_certificate_5",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_118"
"CA_GreenE_34MWh_Dec2020_to_June2021_certificate_5",4,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_165"
"CA_GreenE_34MWh_Dec2020_to_June2021_certificate_6",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_119"
"CA_GreenE_34MWh_Dec2020_to_June2021_certificate_6",3,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_166"
"CA_GreenE_34MWh_Dec2020_to_June2021_certificate_7",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_120"
"CA_GreenE_34MWh_Dec2020_to_June2021_certificate_7",2,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_167"
"CA_GreenE_8MWh_Jul2021_to_Aug2021_certificate_1",2,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_121"
"CA_GreenE_8MWh_Jul2021_to_Aug2021_certificate_1",2,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_168"
"CA_GreenE_8MWh_Jul2021_to_Aug2021_certificate_2",2,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_122"
"CA_GreenE_8MWh_Jul2021_to_Aug2021_certificate_2",2,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_169"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_1",265,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_33"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_1",952,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_13"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_1",1070,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_7"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_1",1547,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_3"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_1",2926,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_28"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_2",124,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_47"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_2",265,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_34"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_2",952,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_14"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_2",1070,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_8"
