reportingStart,Time_region,reportingStartTimezoneOffset,reportingEnd,reportingEndTimezoneOffset,sellerName,sellerAddress,country,region,volume_Wh,generatorName,productType,energySource,generationStart,generationStartTimezoneOffset,generationEnd,generationEndTimezoneOffset
2021-03-01,ET,,2021-03-31,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,RFC,1,"1AU, LLC (IN) ",GREEN-E,WIND,2021-03-01,,2021-03-31,
2021-01-01,ET,,2021-01-31,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,RFC,2,Big Turtle Wind Farm Two,GREEN-E,WIND,2021-01-01,,2021-01-31,
2021-02-01,ET,,2021-02-28,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,RFC,1,Big Turtle Wind Farm Two,GREEN-E,WIND,2021-02-01,,2021-02-28,
2021-05-01,ET,,2021-05-31,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,RFC,1,Big Turtle Wind Farm Two,GREEN-E,WIND,2021-05-01,,2021-05-31,
2021-06-01,ET,,2021-06-30,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,RFC,2,Big Turtle Wind Farm Two,GREEN-E,WIND,2021-06-01,,2021-06-30,
2021-08-01,ET,,2021-08-31,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,RFC,1,Big Turtle Wind Farm Two,GREEN-E,WIND,2021-08-01,,2021-08-31,
2020-09-01,ET,,2020-09-30,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,RFC,1,Brook View Dairy 1,GREEN-E,BIOGAS,2020-09-01,,2020-09-30,
2021-04-01,ET,,2021-04-30,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,NPCC,2,Caribou Solar LLC,GREEN-E,SOLAR,2021-04-01,,2021-04-30,
2021-05-01,ET,,2021-05-31,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,NPCC,9,Caribou Solar LLC,GREEN-E,SOLAR,2021-05-01,,2021-05-31,
2021-06-01,ET,,2021-06-30,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,NPCC,10,Caribou Solar LLC,GREEN-E,SOLAR,2021-06-01,,2021-06-30,
2020-11-01,ET,,2020-11-30,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,NPCC,6,Cohocton Wind Project (Candigu),GREEN-E,WIND,2020-11-01,,2020-11-30,
2021-08-01,PT,,2021-08-31,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,WECC,162,GLT Chuckawalla Solar - State of California - Chuckawalla Prison,GREEN-E,SOLAR,2021-08-01,,2021-08-31,
2021-02-01,PT,,2021-02-28,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,WECC,25,GLT Laguna Solar - San Luis Obispo - Laguna Middle,GREEN-E,SOLAR,2021-02-01,,2021-02-28,
2021-07-01,PT,,2021-07-31,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,WECC,28,GLT Laguna Solar - San Luis Obispo - Laguna Middle,GREEN-E,SOLAR,2021-07-01,,2021-07-31,
2021-02-01,PT,,2021-02-28,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,WECC,20,GLT Laguna Solar - San Luis Obispo - Laguna Middle,GREEN-E,SOLAR,2021-02-01,,2021-02-28,
2021-06-01,PT,,2021-06-30,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,WECC,13,GLT Laguna Solar - San Luis Obispo - Laguna Middle,GREEN-E,SOLAR,2021-06-01,,2021-06-30,
2021-07-01,PT,,2021-07-31,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,WECC,35,GLT Laguna Solar - San Luis Obispo - Laguna Middle,GREEN-E,SOLAR,2021-07-01,,2021-07-31,
2021-02-01,PT,,2021-02-28,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,WECC,18,GLT Los Rob 160 - DDRC Marengo,GREEN-E,SOLAR,2021-02-01,,2021-02-28,
2021-03-01,PT,,2021-03-31,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,WECC,23,GLT Los Rob 160 - DDRC Marengo,GREEN-E,SOLAR,2021-03-01,,2021-03-31,
2021-06-01,PT,,2021-06-30,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,WECC,24,GLT Los Rob 160 - DDRC Marengo,GREEN-E,SOLAR,2021-06-01,,2021-06-30,
2021-07-01,PT,,2021-07-31,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,WECC,23,GLT Los Rob 160 - DDRC Marengo,GREEN-E,SOLAR,2021-07-01,,2021-07-31,
2021-05-01,PT,,2021-05-31,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,WECC,9,GLT Los Rob 160 - DDRC Marengo,GREEN-E,SOLAR,2021-05-01,,2021-05-31,
2021-06-01,PT,,2021-06-30,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,WECC,9,GLT Los Rob 160 - DDRC Marengo,GREEN-E,SOLAR,2021-06-01,,2021-06-30,
2021-07-01,PT,,2021-07-31,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,WECC,9,GLT Los Rob 160 - DDRC Marengo,GREEN-E,SOLAR,2021-07-01,,2021-07-31,
2021-06-01,PT,,2021-06-30,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,WECC,19,GLT The Pike 115 - DDRC Long Beach,GREEN-E,SOLAR,2021-06-01,,2021-06-30,
2021-07-01,PT,,2021-07-31,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,WECC,20,GLT The Pike 115 - DDRC Long Beach,GREEN-E,SOLAR,2021-07-01,,2021-07-31,
2021-04-01,PT,,2021-04-30,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,WECC,14,GLT The Pike 150 - DDRC Long Beach,GREEN-E,SOLAR,2021-04-01,,2021-04-30,
2021-05-01,PT,,2021-05-31,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,WECC,15,GLT The Pike 150 - DDRC Long Beach,GREEN-E,SOLAR,2021-05-01,,2021-05-31,
2021-06-01,PT,,2021-06-30,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,WECC,15,GLT The Pike 150 - DDRC Long Beach,GREEN-E,SOLAR,2021-06-01,,2021-06-30,
2021-07-01,PT,,2021-07-31,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,WECC,15,GLT The Pike 150 - DDRC Long Beach,GREEN-E,SOLAR,2021-07-01,,2021-07-31,
2021-04-01,ET,,2021-04-30,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,CA,,5,Hermanville Wind Farm,GREEN-E,WIND,2021-04-01,,2021-04-30,
2021-05-01,ET,,2021-05-31,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,CA,,4,Hermanville Wind Farm,GREEN-E,WIND,2021-05-01,,2021-05-31,
2021-06-01,ET,,2021-06-30,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,CA,,3,Hermanville Wind Farm,GREEN-E,WIND,2021-06-01,,2021-06-30,
2021-04-01,ET,,2021-04-30,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,RFC,2,Jordan Creek Wind Farm,GREEN-E,WIND,2021-04-01,,2021-04-30,
2021-01-01,PT,,2021-01-31,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,WECC,22,Meridian Vineyards - Meridian Red Tank RT PV1,GREEN-E,SOLAR,2021-01-01,,2021-01-31,
2020-10-01,ET,,2020-10-31,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,RFC,1,"Milford Raman Solar, LLC",GREEN-E,SOLAR,2020-10-01,,2020-10-31,
2021-01-01,PT,,2021-01-31,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,WECC,32,Milpitas High School Solar,GREEN-E,SOLAR,2021-01-01,,2021-01-31,
2021-03-01,PT,,2021-03-31,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,WECC,1,Red Bluff Joint Union High School - Red Bluff 1,GREEN-E,SOLAR,2021-03-01,,2021-03-31,
2021-02-01,PT,,2021-02-28,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,WECC,1,Red Bluff Joint Union High School - Red Bluff 1,GREEN-E,SOLAR,2021-02-01,,2021-02-28,
2020-11-01,ET,,2020-11-30,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,RFC,1,Rosewater Wind Project,GREEN-E,WIND,2020-11-01,,2020-11-30,
2020-12-01,ET,,2020-12-31,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,RFC,1,Rosewater Wind Project,GREEN-E,WIND,2020-12-01,,2020-12-31,
2021-07-01,ET,,2021-07-31,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,RFC,1,Rosewater Wind Project,GREEN-E,WIND,2021-07-01,,2021-07-31,
2021-02-01,CT,,2021-02-28,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,CA,,6,St. Joseph Wind Farm,GREEN-E,WIND,2021-02-01,,2021-02-28,
2021-03-01,CT,,2021-03-31,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,CA,,6,St. Joseph Wind Farm,GREEN-E,WIND,2021-03-01,,2021-03-31,
2020-11-01,ET,,2020-11-30,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,NPCC,1,STEEL - STEEL___WIND,GREEN-E,WIND,2020-11-01,,2020-11-30,
2021-01-01,PT,,2021-01-31,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,WECC,11,William Burnett Elementary,GREEN-E,SOLAR,2021-01-01,,2021-01-31,
2020-12-01,ET,,2020-12-31,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,CA,,5,Zurich CGS,GREEN-E,WIND,2020-12-01,,2020-12-31,
2021-01-01,ET,,2021-01-31,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,CA,,5,Zurich CGS,GREEN-E,WIND,2021-01-01,,2021-01-31,
