Missing 1590 needed for 20211115_3D_PL_transaction_1_allocation_17 (CN, null, 2020-07-01 - 2021-03-31)
Missing 3455 needed for 20211115_3D_PL_transaction_1_allocation_23 (CN, null, 2020-07-01 - 2021-03-31)
Missing 3651 needed for 20211115_3D_PL_transaction_1_allocation_26 (CN, null, 2020-07-01 - 2021-03-31)
Missing 268 needed for 20211115_3D_PL_transaction_1_allocation_29 (CN, null, 2020-07-01 - 2021-03-31)
Missing 265 needed for 20211115_3D_PL_transaction_1_allocation_31 (CN, null, 2020-07-01 - 2021-03-31)
Missing 257 needed for 20211115_3D_PL_transaction_1_allocation_37 (CN, null, 2020-07-01 - 2021-03-31)
Missing 2492 needed for 20211115_3D_PL_transaction_1_allocation_41 (CN, null, 2020-07-01 - 2021-03-31)
Missing 1985 needed for 20211115_3D_PL_transaction_1_allocation_42 (CN, null, 2020-07-01 - 2021-03-31)
Missing 31 needed for 20211115_3D_PL_transaction_1_allocation_51 (BE, null, 2021-08-01 - 2021-08-31)
Missing 32 needed for 20211115_3D_PL_transaction_1_allocation_59 (BE, null, 2021-07-01 - 2021-07-31)
Missing 14 needed for 20211115_3D_PL_transaction_1_allocation_62 (BE, null, 2021-04-01 - 2021-04-30)
Missing 2 needed for 20211115_3D_PL_transaction_1_allocation_63 (BE, null, 2021-05-01 - 2021-05-31)
Missing 2 needed for 20211115_3D_PL_transaction_1_allocation_66 (BE, null, 2020-07-01 - 2021-03-31)
Missing 1 needed for 20211115_3D_PL_transaction_1_allocation_67 (BE, null, 2020-07-01 - 2021-03-31)
Missing 1 needed for 20211115_3D_PL_transaction_1_allocation_68 (BE, null, 2020-07-01 - 2021-03-31)
Missing 1 needed for 20211115_3D_PL_transaction_1_allocation_69 (BE, null, 2020-07-01 - 2021-03-31)
Missing 45 needed for 20211115_3D_PL_transaction_1_allocation_70 (US, WECC, 2020-07-01 - 2021-03-31)
Missing 1 needed for 20211115_3D_PL_transaction_1_allocation_75 (US, NPCC, 2020-07-01 - 2021-03-31)
Missing 1 needed for 20211115_3D_PL_transaction_1_allocation_76 (US, NPCC, 2020-07-01 - 2021-03-31)
Missing 1 needed for 20211115_3D_PL_transaction_1_allocation_77 (US, NPCC, 2020-07-01 - 2021-03-31)
Missing 3 needed for 20211115_3D_PL_transaction_1_allocation_81 (BE, null, 2021-01-01 - 2021-01-31)
Missing 12 needed for 20211115_3D_PL_transaction_1_allocation_82 (BE, null, 2021-02-01 - 2021-02-28)
Missing 20 needed for 20211115_3D_PL_transaction_1_allocation_83 (BE, null, 2021-03-01 - 2021-03-31)
Missing 1 needed for 20211115_3D_PL_transaction_1_allocation_84 (BE, null, 2021-04-01 - 2021-04-30)
Missing 24 needed for 20211115_3D_PL_transaction_1_allocation_85 (BE, null, 2021-05-01 - 2021-05-31)
Missing 18 needed for 20211115_3D_PL_transaction_1_allocation_86 (BE, null, 2021-06-01 - 2021-06-30)
Missing 4 needed for 20211115_3D_PL_transaction_1_allocation_87 (DK, null, 2020-07-01 - 2021-03-31)
Missing 1 needed for 20211115_3D_PL_transaction_1_allocation_111 (CA, null, 2020-07-01 - 2021-03-31)
Missing 1 needed for 20211115_3D_PL_transaction_1_allocation_112 (CA, null, 2020-07-01 - 2021-03-31)
Missing 1 needed for 20211115_3D_PL_transaction_1_allocation_113 (CA, null, 2020-07-01 - 2021-03-31)
Missing 1 needed for 20211115_3D_PL_transaction_1_allocation_114 (CA, null, 2020-07-01 - 2021-03-31)
Missing 2 needed for 20211115_3D_PL_transaction_1_allocation_138 (DK, null, 2020-07-01 - 2021-03-31)
Missing 3 needed for 20211115_3D_PL_transaction_1_allocation_139 (DK, null, 2020-07-01 - 2021-03-31)
Missing 3 needed for 20211115_3D_PL_transaction_1_allocation_140 (DK, null, 2020-07-01 - 2021-03-31)
Missing 11 needed for 20211115_3D_PL_transaction_1_allocation_143 (US, WECC, 2020-07-01 - 2021-03-31)
Missing 1 needed for 20211115_3D_PL_transaction_1_allocation_151 (US, NPCC, 2020-07-01 - 2021-03-31)
Missing 1 needed for 20211115_3D_PL_transaction_1_allocation_152 (US, NPCC, 2020-07-01 - 2021-03-31)
Missing 1 needed for 20211115_3D_PL_transaction_1_allocation_153 (US, NPCC, 2020-07-01 - 2021-03-31)
Missing 1 needed for 20211115_3D_PL_transaction_1_allocation_154 (US, NPCC, 2020-07-01 - 2021-03-31)
Missing 1 needed for 20211115_3D_PL_transaction_1_allocation_161 (CA, null, 2020-07-01 - 2021-03-31)

Remained:
CA_GreenE_34MWh_Dec2020_to_June2021_certificate_1: 5 (CA, null, 2020-12-01 - 2020-12-31)
CN_IREC_82583MWh_Jan2021_to_August2021_certificate_4: 1435 (CN, null, 2021-02-01 - 2021-02-28)
CN_IREC_82583MWh_Jan2021_to_August2021_certificate_5: 87 (CN, null, 2021-03-01 - 2021-03-31)
CN_IREC_82583MWh_Jan2021_to_August2021_certificate_10: 10972 (CN, null, 2021-01-01 - 2021-03-31)
CN_IREC_82583MWh_Jan2021_to_August2021_certificate_11: 1469 (CN, null, 2021-01-01 - 2021-01-31)
GO_Cancellation_ProtocolLabs-Miner ID f01234_2021_Belgium_162_certificate_1: 8 (BE, null, 2021-01-31 - 2021-01-31)
GO_Cancellation_ProtocolLabs-Miner ID f01234_2021_Belgium_162_certificate_2: 12 (BE, null, 2021-02-28 - 2021-02-28)
GO_Cancellation_ProtocolLabs-Miner ID f01234_2021_Belgium_162_certificate_3: 20 (BE, null, 2021-03-31 - 2021-03-31)
GO_Cancellation_ProtocolLabs-Miner ID f01234_2021_Belgium_162_certificate_4: 32 (BE, null, 2021-07-31 - 2021-07-31)
GO_Cancellation_ProtocolLabs-Miner ID f01234_2021_Belgium_162_certificate_5: 15 (BE, null, 2021-04-30 - 2021-04-30)
GO_Cancellation_ProtocolLabs-Miner ID f01234_2021_Belgium_162_certificate_6: 26 (BE, null, 2021-05-31 - 2021-05-31)
GO_Cancellation_ProtocolLabs-Miner ID f01234_2021_Belgium_162_certificate_7: 18 (BE, null, 2021-06-30 - 2021-06-30)
GO_Cancellation_ProtocolLabs-Miner ID f01234_2021_Belgium_162_certificate_8: 31 (BE, null, 2021-08-31 - 2021-08-31)
GO_Cancellation_ProtocolLabs-Miner ID f02576_2021_Denmark_35_certificate_1: 12 (DK, null, 2021-01-01 - 2021-01-31)
US_GreenE_28MWh_Nov2020_to_June2021_certificate_1: 6 (US, NPCC, 2020-11-01 - 2020-11-30)
US_GreenE_28MWh_Nov2020_to_June2021_certificate_2: 1 (US, NPCC, 2020-11-01 - 2020-11-30)
US_GreenE_563MWh_Jan_to_August_2021_certificate_3: 11 (US, WECC, 2021-01-01 - 2021-01-31)
