"allocation_id","UUID","contract_id","minerID","volume_MWh","defaulted","step4_ZL_contract_complete","step5_redemption_data_complete","step6_attestation_info_complete","step7_certificates_matched_to_supply","step8_IPLDrecord_complete","step9_transaction_complete","step10_volta_complete","step11_finalRecord_complete","allocation_cid"
"20220207_SP_PL_transaction_1_allocation_1","be758bc6-5c80-4c63-8729-462be4d1b0ab","20220207_SP_PL_transaction_1_contract_1","f01152",16,0,0,0,0,0,0,0,0,0,"bafyreifodgyldbfzpx3r266jkqia76bvjgvpfub5t3rlkhs62uafwhcqjm"
"20220207_SP_PL_transaction_1_allocation_2","717f9756-ef5b-40c8-b3e6-bfd404bd2c6c","20220207_SP_PL_transaction_1_contract_1","f01155",200,0,0,0,0,0,0,0,0,0,"bafyreia3hv5a2l7hhjmmtd3yawsxmy4wodvdz65ydww7dswhmbaznf7bpi"
"20220207_SP_PL_transaction_1_allocation_3","703b5c3b-1be5-4bdc-87c1-dff37074d027","20220207_SP_PL_transaction_1_contract_1","f01241",212,0,0,0,0,0,0,0,0,0,"bafyreicchokcfr3wjf5vppsi4qj46lq7ve2vkvjbsid75h3awnu5lujfiy"
"20220207_SP_PL_transaction_1_allocation_4","4afa0b2f-da54-4f04-a131-9b71c94fc318","20220207_SP_PL_transaction_1_contract_1","f01272",1052,0,0,0,0,0,0,0,0,0,"bafyreietjwoynzlj5efkquxc3ubbej4synuad4e7ds3lrbx53nufbihrlq"
"20220207_SP_PL_transaction_1_allocation_5","b10c960b-2147-4252-96aa-bea44cc388e5","20220207_SP_PL_transaction_1_contract_1","f01279",21,0,0,0,0,0,0,0,0,0,"bafyreidibnflbsbqrwmk4qwiepts47zqp4v77rmi7csebzwu5k5x7b3pr4"
"20220207_SP_PL_transaction_1_allocation_6","fbbc5c2c-6ddf-4620-a2f5-cad952ac07f0","20220207_SP_PL_transaction_1_contract_1","f01280",303,0,0,0,0,0,0,0,0,0,"bafyreiasn33z67ujbivmp2wfvuytbs63hhc47jmaf53h6cju7rt4cm6cim"
"20220207_SP_PL_transaction_1_allocation_7","d2fb86b3-8887-481f-b4b0-3aab33e4f37d","20220207_SP_PL_transaction_1_contract_1","f01287",107,0,0,0,0,0,0,0,0,0,"bafyreihnlkbo2plzwisjosaye3fp5xohe5vqll5ratlnwc4xco3ecd4dwu"
"20220207_SP_PL_transaction_1_allocation_8","9eed5358-7dd8-4a0b-930b-2cec19abb8fc","20220207_SP_PL_transaction_1_contract_1","f01289",148,0,0,0,0,0,0,0,0,0,"bafyreihbly4r74fjc3x2vpkeq47up2267j2n6u4rofp7ibbdhnmr4cffju"
"20220207_SP_PL_transaction_1_allocation_9","2f576a09-7b2e-45b8-a051-87bea164df7e","20220207_SP_PL_transaction_1_contract_1","f01314",158,0,0,0,0,0,0,0,0,0,"bafyreicr3tziycvn7fxeb3i7pmqkk7eyfne72b6bq4xw5l4sgnewc727km"
"20220207_SP_PL_transaction_1_allocation_10","42eabbc4-aae6-4fff-9b37-3b17061abcb2","20220207_SP_PL_transaction_1_contract_1","f01782",1797,0,0,0,0,0,0,0,0,0,"bafyreibayooldbaseyqe5ssqr5pdh2bwnc2y4xdeejsd74h5nhb5vlse3i"
