attestation_id,smart_contract_address,batchID,network,zl_protocol_version,minerID,beneficiary,redemption_purpose,attestation_folder
20220207_SP_PL_transaction_1_attestation_1,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,1,246,1.0.0,,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 1 - Filecoin MinerID: f01152,"The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 1. The certificates will be created as tokens of type ERC1888 - Topic: ""1"" This redemption is matched to Filecoin Miner ID f01152",20220429_SP_delivery
20220207_SP_PL_transaction_1_attestation_2,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,2,246,1.0.0,,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 2 - Filecoin MinerID: f01155,"The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 2. The certificates will be created as tokens of type ERC1888 - Topic: ""1"" This redemption is matched to Filecoin Miner ID f01155",20220429_SP_delivery
20220207_SP_PL_transaction_1_attestation_3,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,3,246,1.0.0,,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3 - Filecoin MinerID: f01241,"The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 3. The certificates will be created as tokens of type ERC1888 - Topic: ""1"" This redemption is matched to Filecoin Miner ID f01241",20220429_SP_delivery
20220207_SP_PL_transaction_1_attestation_4,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,4,246,1.0.0,,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 4 - Filecoin MinerID: f01272,"The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 4. The certificates will be created as tokens of type ERC1888 - Topic: ""1"" This redemption is matched to Filecoin Miner ID f01272",20220429_SP_delivery
20220207_SP_PL_transaction_1_attestation_5,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,5,246,1.0.0,,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 5 - Filecoin MinerID: f01279,"The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 5. The certificates will be created as tokens of type ERC1888 - Topic: ""1"" This redemption is matched to Filecoin Miner ID f01279",20220429_SP_delivery
20220207_SP_PL_transaction_1_attestation_6,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,6,246,1.0.0,,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 6 - Filecoin MinerID: f01280,"The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 6. The certificates will be created as tokens of type ERC1888 - Topic: ""1"" This redemption is matched to Filecoin Miner ID f01280",20220429_SP_delivery
20220207_SP_PL_transaction_1_attestation_7,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,7,246,1.0.0,,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 7 - Filecoin MinerID: f01287,"The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 7. The certificates will be created as tokens of type ERC1888 - Topic: ""1"" This redemption is matched to Filecoin Miner ID f01287",20220429_SP_delivery
20220207_SP_PL_transaction_1_attestation_8,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,8,246,1.0.0,,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 8 - Filecoin MinerID: f01289,"The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 8. The certificates will be created as tokens of type ERC1888 - Topic: ""1"" This redemption is matched to Filecoin Miner ID f01289",20220429_SP_delivery
20220207_SP_PL_transaction_1_attestation_9,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,9,246,1.0.0,,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 9 - Filecoin MinerID: f01314,"The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 9. The certificates will be created as tokens of type ERC1888 - Topic: ""1"" This redemption is matched to Filecoin Miner ID f01314",20220429_SP_delivery
20220207_SP_PL_transaction_1_attestation_10,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,10,246,1.0.0,,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 10 - Filecoin MinerID: f01782,"The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 10. The certificates will be created as tokens of type ERC1888 - Topic: ""1"" This redemption is matched to Filecoin Miner ID f01782",20220429_SP_delivery
20220207_SP_PL_transaction_1_attestation_11,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,11,246,1.0.0,,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 11 - Filecoin MinerID: f02299,"The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 11. The certificates will be created as tokens of type ERC1888 - Topic: ""1"" This redemption is matched to Filecoin Miner ID f02299",20220429_SP_delivery
20220207_SP_PL_transaction_1_attestation_12,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,12,246,1.0.0,,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 12 - Filecoin MinerID: f02381,"The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 12. The certificates will be created as tokens of type ERC1888 - Topic: ""1"" This redemption is matched to Filecoin Miner ID f02381",20220429_SP_delivery
