"minerID","pageUrl","deliveredEACs_MWh","openEACContracts_MWh","AllEACs_MWh","EnergyConsumed_Upper_MWh","Renewable_Consumed_Ratio"
"f01051178","https://proofs.zerolabs.green/partners/filecoin/nodes/f01051178/beneficiary",168,225,393,1004.971720877718,0.3910557798151408
"f066596","https://proofs.zerolabs.green/partners/filecoin/nodes/f066596/beneficiary",261,84,345,426.00032277960855,0.8098585413008851
"f0763337","https://proofs.zerolabs.green/partners/filecoin/nodes/f0763337/beneficiary",239,130,369,443.50734847544624,0.8320042526204701
"f01234","https://proofs.zerolabs.green/partners/filecoin/nodes/f01234/beneficiary",98,162,260,239.16250302902165,1.0871269396626517
"f0720636","https://proofs.zerolabs.green/partners/filecoin/nodes/f0720636/beneficiary",93,263,356,646.3319159491093,0.5508005890088686
"f02576","https://proofs.zerolabs.green/partners/filecoin/nodes/f02576/beneficiary",35,42,77,64.32065457951195,1.197127120415326
"f022142","https://proofs.zerolabs.green/partners/filecoin/nodes/f022142/beneficiary",42,25,67,69.19786630901162,0.9682379468292162
"f01278","https://proofs.zerolabs.green/partners/filecoin/nodes/f01278/beneficiary",35,0,35,23.48293404158327,1.4904440790074385
"f01051828","https://proofs.zerolabs.green/partners/filecoin/nodes/f01051828/beneficiary",44,3,47,40.31613648059935,1.165786310466952
"f0678914","https://proofs.zerolabs.green/partners/filecoin/nodes/f0678914/beneficiary",39,3,42,42.241319312609924,0.9942871265259491
"f0828066","https://proofs.zerolabs.green/partners/filecoin/nodes/f0828066/beneficiary",33,2,35,30.484257823188983,1.1481335777634039
"f01045784","https://proofs.zerolabs.green/partners/filecoin/nodes/f01045784/beneficiary",2,2,4,0.8037423025175312,4.976719512548927
"f0728347","https://proofs.zerolabs.green/partners/filecoin/nodes/f0728347/beneficiary",4,2,6,0.6365868049969489,9.42526604840444
"f019104","https://proofs.zerolabs.green/partners/filecoin/nodes/f019104/beneficiary",7,8,15,19.375695887137248,0.7741657428654164
"f098770","https://proofs.zerolabs.green/partners/filecoin/nodes/f098770/beneficiary",22,5,27,31.84626700217417,0.8478230744644792
"f0127595","https://proofs.zerolabs.green/partners/filecoin/nodes/f0127595/beneficiary",0,25241,25241,35850.19937640397,0.7040686087958892
"f0688165","https://proofs.zerolabs.green/partners/filecoin/nodes/f0688165/beneficiary",0,17636,17636,33034.26486970267,0.5338699096093654
"f0128559","https://proofs.zerolabs.green/partners/filecoin/nodes/f0128559/beneficiary",0,15979,15979,22515.822219066216,0.7096787247888781
"f02770","https://proofs.zerolabs.green/partners/filecoin/nodes/f02770/beneficiary",0,18141,18141,25684.433173305242,0.7063033035455342
"f02775","https://proofs.zerolabs.green/partners/filecoin/nodes/f02775/beneficiary",0,5361,5361,8282.97556524003,0.6472311740840738
"f014365","https://proofs.zerolabs.green/partners/filecoin/nodes/f014365/beneficiary",0,14,14,7.965535382665152,1.757571754745731
"f01175097","https://proofs.zerolabs.green/partners/filecoin/nodes/f01175097/beneficiary",0,9,9,94.1378120881191,0.09560451640383798
