"ID","name","country","location","redemption_account","volume_required","start_date","end_date","redemption_purpose"
"","f01152","CN","CN-BJ","Longli Jia Tuo Mountain Windfarm",16,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f01152"
"","f01155","CN","CN-SH","Longli Jia Tuo Mountain Windfarm",198,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f01155"
"","f01241","CN","CN-XJ","Longli Jia Tuo Mountain Windfarm",209,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f01241"
"","f01272","CN","CN-JS","Longli Jia Tuo Mountain Windfarm",1041,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f01272"
"","f01279","CN","CN-SC","Longli Jia Tuo Mountain Windfarm",21,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f01279"
"","f01280","CN","CN-JS","Longli Jia Tuo Mountain Windfarm",301,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f01280"
"","f01287","CN","CN-ZJ","Longli Jia Tuo Mountain Windfarm",106,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f01287"
"","f01289","CN","CN-ZJ","Longli Jia Tuo Mountain Windfarm",146,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f01289"
"","f01314","CN","CN-ZJ","Longli Jia Tuo Mountain Windfarm",157,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f01314"
"","f01782","CN","CN-SH","Longli Jia Tuo Mountain Windfarm",1778,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f01782"
"","f02299","CN","CN-BJ","Longli Jia Tuo Mountain Windfarm",7,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f02299"
"","f02381","CN","CN-GD","Longli Jia Tuo Mountain Windfarm",7,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f02381"
"","f02399","CN","CN-SH","Longli Jia Tuo Mountain Windfarm",166,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f02399"
"","f02405","CN","CN-GD","Longli Jia Tuo Mountain Windfarm",70,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f02405"
"","f02416","CN","CN-GD","Longli Jia Tuo Mountain Windfarm",874,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f02416"
"","f02417","CN","CN-HE","Longli Jia Tuo Mountain Windfarm",99,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f02417"
"","f02419","CN","CN-SH","Longli Jia Tuo Mountain Windfarm",337,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f02419"
"","f02422","CN","CN-SN","Longli Jia Tuo Mountain Windfarm",528,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f02422"
"","f02492","CN","HK","Longli Jia Tuo Mountain Windfarm",58,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f02492"
"","f02625","CN","CN-SH","Longli Jia Tuo Mountain Windfarm",126,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f02625"
"","f02723","CN","CN-AH","Longli Jia Tuo Mountain Windfarm",205,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f02723"
"","f02725","CN","HK","Longli Jia Tuo Mountain Windfarm",9,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f02725"
"","f02838","CN","CN-SC","Longli Jia Tuo Mountain Windfarm",302,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f02838"
"","f03134","CN","CN-TJ","Longli Jia Tuo Mountain Windfarm",71,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f03134"
"","f03144","CN","HK","Longli Jia Tuo Mountain Windfarm",195,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f03144"
"","f03249","CN","CN-GD","Longli Jia Tuo Mountain Windfarm",29,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f03249"
"","f03328","CN","CN-HA","Longli Jia Tuo Mountain Windfarm",247,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f03328"
"","f03345","CN","CN-FJ","Longli Jia Tuo Mountain Windfarm",11,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f03345"
"","f03358","CN","CN-NM","Longli Jia Tuo Mountain Windfarm",7,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f03358"
"","f03363","CN","CN-NM","Longli Jia Tuo Mountain Windfarm",37,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f03363"
"","f03364","CN","CN-NM","Longli Jia Tuo Mountain Windfarm",68,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f03364"
