"name","country_name","location"
"f01152","CN","CN-BJ"
"f01155","CN","CN-SH"
"f01241","CN","CN-XJ"
"f01272","CN","CN-JS"
"f01279","CN","CN-SC"
"f01280","CN","CN-JS"
"f01287","CN","CN-ZJ"
"f01289","CN","CN-ZJ"
"f01314","CN","CN-ZJ"
"f01782","CN","CN-SH"
"f02299","CN","CN-BJ"
"f02381","CN","CN-GD"
"f02399","CN","CN-SH"
"f02405","CN","CN-GD"
"f02416","CN","CN-GD"
"f02417","CN","CN-HE"
"f02419","CN","CN-SH"
"f02422","CN","CN-SN"
"f02492","CN","HK"
"f02625","CN","CN-SH"
"f02723","CN","CN-AH"
"f02725","CN","HK"
"f02838","CN","CN-SC"
"f03134","CN","CN-TJ"
"f03144","CN","HK"
"f03249","CN","CN-GD"
"f03328","CN","CN-HA"
"f03345","CN","CN-FJ"
"f03358","CN","CN-NM"
"f03363","CN","CN-NM"
"f03364","CN","CN-NM"
"f03482","CN","CN-JS"
"f04443","CN","CN-SH"
"f05664","CN","HK"
"f07945","CN","CN-GD"
"f07969","CN","CN-ZJ"
"f07998","CN","CN-HB"
"f08019","CN","CN-SD"
"f08094","CN","CN-GD"
"f08103","CN","CN-GD"
"f08148","CN","HK"
"f08157","CN","CN-BJ"
"f08197","CN","CN-GD"
"f08242","CN","HK"
"f08264","CN","CN-JS"
"f09002","CN","CN-SN"
"f09589","CN","CN-HN"
"f09620","CN","CN-SD"
"f09675","CN","HK"
"f09693","CN","CN-XJ"
"f010247","CN","CN-SD"
"f010399","CN","CN-GD"
"f010400","CN","CN-LN"
"f010405","CN","CN-GD"
"f010507","CN","CN-ZJ"
"f010523","CN","CN-BJ"
"f010528","CN","CN-CQ"
"f014251","CN","CN-JS"
"f014394","CN","CN-JS"
"f014522","CN","CN-SH"
"f014569","CN","CN-JS"
"f015233","CN","CN-JS"
"f015685","CN","CN-SH"
"f015885","CN","CN-ZJ"
"f015897","CN","HK"
"f016276","CN","CN-BJ"
"f017665","CN","CN-LN"
"f019002","CN","CN-FJ"
"f019240","CN","CN-BJ"
"f019362","CN","CN-HB"
"f019638","CN","CN-NM"
"f020331","CN","CN-XX"
"f020398","CN","CN-GD"
"f020436","CN","CN-BJ"
"f020523","CN","CN-JS"
"f020742","CN","CN-SH"
"f021444","CN","CN-SH"
"f021525","CN","CN-GD"
"f021532","CN","CN-SH"
"f021536","CN","CN-GD"
"f021961","CN","CN-FJ"
"f022111","CN","CN-FJ"
"f022227","CN","CN-JS"
"f022289","CN","CN-SC"
"f022308","CN","CN-AH"
"f022399","CN","CN-BJ"
"f022566","CN","CN-XX"
"f022687","CN","CN-SC"
"f022748","CN","CN-HA"
"f022832","CN","CN-BJ"
"f022853","CN","CN-FJ"
"f023152","CN","CN-SD"
"f023179","CN","CN-XX"
"f023198","CN","CN-SN"
"f023200","CN","CN-SH"
"f023462","CN","CN-ZJ"
"f023534","CN","CN-ZJ"
"f023565","CN","CN-JX"
"f023660","CN","CN-JX"
"f023662","CN","CN-JX"
"f023678","CN","CN-ZJ"
"f023853","CN","CN-JX"
"f023854","CN","CN-JX"
"f023855","CN","CN-JX"
"f023858","CN","CN-JX"
"f023859","CN","CN-JX"
"f023861","CN","CN-JX"
"f023868","CN","CN-JX"
"f023869","CN","CN-JX"
"f023870","CN","CN-JX"
"f023871","CN","CN-JX"
"f023876","CN","CN-JX"
"f023928","CN","CN-JX"
"f023977","CN","CN-JX"
"f023978","CN","CN-JX"
"f023980","CN","CN-JX"
"f023981","CN","CN-JX"
"f023982","CN","CN-ZJ"
"f023983","CN","CN-ZJ"
"f023984","CN","CN-ZJ"
"f023985","CN","CN-ZJ"
"f024006","CN","CN-JX"
"f024007","CN","CN-JX"
"f024008","CN","CN-JX"
"f024012","CN","CN-JX"
"f024013","CN","CN-JX"
"f024014","CN","CN-JX"
"f024015","CN","CN-XJ"
"f024066","CN","CN-SC"
"f024136","CN","CN-JX"
