"ID","name","country","location","redemption_account","volume_required","start_date","end_date","redemption_purpose","supply_remaining","totalSealed_GiB","total_time_hours","initial_capacity_GiB","final_capacity_GiB","time_average_capacity_GiB","total_energy_upper_MWh"
"","f01152","CN","CN-BJ","Longli Jia Tuo Mountain Windfarm",16,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f01152",19530,160,2183.991666666667,"276064","276192",276092.5334422064,10.140136921306672
"","f01155","CN","CN-SH","Longli Jia Tuo Mountain Windfarm",200,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f01155",19330,1152,2183.991666666667,"3628384","3629536",3629391.6564699956,133.1874065226818
"","f01241","CN","CN-XJ","Longli Jia Tuo Mountain Windfarm",212,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f01241",19118,0,2183.991666666667,"3839040","3839040",3839040,140.7394378151537
"","f01272","CN","CN-JS","Longli Jia Tuo Mountain Windfarm",1052,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f01272",18066,0,2183.991666666667,"19129088","19129088",19129087.999999996,701.2735191705746
"","f01279","CN","CN-SC","Longli Jia Tuo Mountain Windfarm",21,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f01279",18045,56352,2183.991666666667,"171136","227456",198202.04368911652,13.805749389824253
"","f01280","CN","CN-JS","Longli Jia Tuo Mountain Windfarm",303,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f01280",17742,526560,2183.991666666667,"3367200","3893760",3840664.5119372443,201.9062891235929
"","f01287","CN","CN-ZJ","Longli Jia Tuo Mountain Windfarm",107,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f01287",17635,0,2183.991666666667,"1942208","1942208",1942208,71.20146235519663
"","f01289","CN","CN-ZJ","Longli Jia Tuo Mountain Windfarm",148,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f01289",17487,0,2183.991666666667,"2678016","2678016",2678015.9999999995,98.17622798928552
"","f01314","CN","CN-ZJ","Longli Jia Tuo Mountain Windfarm",158,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f01314",17329,0,2183.991666666667,"2870976","2870976",2870975.999999999,105.25015322080483
"","f01782","CN","CN-SH","Longli Jia Tuo Mountain Windfarm",1797,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f01782",15532,0,2183.991666666667,"32674912","32674912",32674911.999999996,1197.8642435451623
"","f02299","CN","CN-BJ","Longli Jia Tuo Mountain Windfarm",7,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f02299",15525,0,2183.991666666667,"112704","112704",112704,4.131735433733195
"","f02381","CN","CN-GD","Longli Jia Tuo Mountain Windfarm",7,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f02381",15518,0,2183.991666666667,"115296","115296",115295.99999999999,4.226758309977485
"","f02399","CN","CN-SH","Longli Jia Tuo Mountain Windfarm",168,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f02399",15350,0,2183.991666666667,"3041280","3041280",3041280,111.4935081266334
"","f02405","CN","CN-GD","Longli Jia Tuo Mountain Windfarm",71,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f02405",15279,96,2183.991666666667,"1280864","1280960",1280879.610682275,46.96826453987707
