ID,name,country,location,redemption_account,volume_required,start_date,end_date,redemption_purpose,supply_remaining,totalSealed_GiB,total_time_hours,initial_capacity_GiB,final_capacity_GiB,time_average_capacity_GiB,total_energy_upper_MWh,recorded_by_ZL
,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 1 - Filecoin MinerID: f01152,CN,CN-BJ,Longli Jia Tuo Mountain Windfarm,16,2021-04-01,2021-06-30,"The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 1. The certificates will be created as tokens of type ERC1888 - Topic: ""1"" This redemption is matched to Filecoin Miner ID f01152",19530,160,2183.99166666667,276064,276192,276092.533442206,10.1401369213067,FALSE
,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 2 - Filecoin MinerID: f01155,CN,CN-SH,Longli Jia Tuo Mountain Windfarm,200,2021-04-01,2021-06-30,"The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 2. The certificates will be created as tokens of type ERC1888 - Topic: ""1"" This redemption is matched to Filecoin Miner ID f01155",19330,1152,2183.99166666667,3628384,3629536,3629391.65647,133.187406522682,FALSE
,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3 - Filecoin MinerID: f01241,CN,CN-XJ,Longli Jia Tuo Mountain Windfarm,212,2021-04-01,2021-06-30,"The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 3. The certificates will be created as tokens of type ERC1888 - Topic: ""1"" This redemption is matched to Filecoin Miner ID f01241",19118,0,2183.99166666667,3839040,3839040,3839040,140.739437815154,FALSE
,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 4 - Filecoin MinerID: f01272,CN,CN-JS,Longli Jia Tuo Mountain Windfarm,1052,2021-04-01,2021-06-30,"The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 4. The certificates will be created as tokens of type ERC1888 - Topic: ""1"" This redemption is matched to Filecoin Miner ID f01272",18066,0,2183.99166666667,19129088,19129088,19129088,701.273519170575,FALSE
,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 5 - Filecoin MinerID: f01279,CN,CN-SC,Longli Jia Tuo Mountain Windfarm,21,2021-04-01,2021-06-30,"The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 5. The certificates will be created as tokens of type ERC1888 - Topic: ""1"" This redemption is matched to Filecoin Miner ID f01279",18045,56352,2183.99166666667,171136,227456,198202.043689117,13.8057493898243,FALSE
,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 6 - Filecoin MinerID: f01280,CN,CN-JS,Longli Jia Tuo Mountain Windfarm,303,2021-04-01,2021-06-30,"The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 6. The certificates will be created as tokens of type ERC1888 - Topic: ""1"" This redemption is matched to Filecoin Miner ID f01280",17742,526560,2183.99166666667,3367200,3893760,3840664.51193724,201.906289123593,FALSE
,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 7 - Filecoin MinerID: f01287,CN,CN-ZJ,Longli Jia Tuo Mountain Windfarm,107,2021-04-01,2021-06-30,"The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 7. The certificates will be created as tokens of type ERC1888 - Topic: ""1"" This redemption is matched to Filecoin Miner ID f01287",17635,0,2183.99166666667,1942208,1942208,1942208,71.2014623551966,FALSE
,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 8 - Filecoin MinerID: f01289,CN,CN-ZJ,Longli Jia Tuo Mountain Windfarm,148,2021-04-01,2021-06-30,"The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 8. The certificates will be created as tokens of type ERC1888 - Topic: ""1"" This redemption is matched to Filecoin Miner ID f01289",17487,0,2183.99166666667,2678016,2678016,2678016,98.1762279892855,FALSE
,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 9 - Filecoin MinerID: f01314,CN,CN-ZJ,Longli Jia Tuo Mountain Windfarm,158,2021-04-01,2021-06-30,"The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 9. The certificates will be created as tokens of type ERC1888 - Topic: ""1"" This redemption is matched to Filecoin Miner ID f01314",17329,0,2183.99166666667,2870976,2870976,2870976,105.250153220805,FALSE
,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 10 - Filecoin MinerID: f01782,CN,CN-SH,Longli Jia Tuo Mountain Windfarm,1797,2021-04-01,2021-06-30,"The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 10. The certificates will be created as tokens of type ERC1888 - Topic: ""1"" This redemption is matched to Filecoin Miner ID f01782",15532,0,2183.99166666667,32674912,32674912,32674912,1197.86424354516,FALSE
