"name","country_name","location"
"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 1 - Filecoin MinerID: f01152","CN","CN-BJ"
"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 2 - Filecoin MinerID: f01155","CN","CN-SH"
"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3 - Filecoin MinerID: f01241","CN","CN-XJ"
"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 4 - Filecoin MinerID: f01272","CN","CN-JS"
"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 5 - Filecoin MinerID: f01279","CN","CN-SC"
"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 6 - Filecoin MinerID: f01280","CN","CN-JS"
"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 7 - Filecoin MinerID: f01287","CN","CN-ZJ"
"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 8 - Filecoin MinerID: f01289","CN","CN-ZJ"
"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 9 - Filecoin MinerID: f01314","CN","CN-ZJ"
"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 10 - Filecoin MinerID: f01782","CN","CN-SH"
"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 11 - Filecoin MinerID: f02299","CN","CN-BJ"
"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 12 - Filecoin MinerID: f02381","CN","CN-GD"
