ID,name,country,location,redemption_account,volume_required,start_date,end_date,redemption_purpose,supply_remaining,totalSealed_GiB,total_time_hours,initial_capacity_GiB,final_capacity_GiB,time_average_capacity_GiB,total_energy_upper_MWh
,f01152,CN,CN-BJ,Longli Jia Tuo Mountain Windfarm,16,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f01152,19530,160,2183.991666666670,276064,276192,276092.5334422060,10.140136921306700
,f01155,CN,CN-SH,Longli Jia Tuo Mountain Windfarm,200,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f01155,19330,1152,2183.991666666670,3628384,3629536,3629391.6564700000,133.1874065226820
,f01241,CN,CN-XJ,Longli Jia Tuo Mountain Windfarm,212,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f01241,19118,0,2183.991666666670,3839040,3839040,3839040,140.7394378151540
,f01272,CN,CN-JS,Longli Jia Tuo Mountain Windfarm,1052,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f01272,18066,0,2183.991666666670,19129088,19129088,19129088.000000000,701.2735191705750
,f01279,CN,CN-SC,Longli Jia Tuo Mountain Windfarm,21,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f01279,18045,56352,2183.991666666670,171136,227456,198202.04368911700,13.805749389824300
,f01280,CN,CN-JS,Longli Jia Tuo Mountain Windfarm,303,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f01280,17742,526560,2183.991666666670,3367200,3893760,3840664.5119372400,201.9062891235930
,f01287,CN,CN-ZJ,Longli Jia Tuo Mountain Windfarm,107,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f01287,17635,0,2183.991666666670,1942208,1942208,1942208,71.20146235519660
,f01289,CN,CN-ZJ,Longli Jia Tuo Mountain Windfarm,148,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f01289,17487,0,2183.991666666670,2678016,2678016,2678016.0000000000,98.17622798928550
,f01314,CN,CN-ZJ,Longli Jia Tuo Mountain Windfarm,158,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f01314,17329,0,2183.991666666670,2870976,2870976,2870976.000000000,105.25015322080500
,f01782,CN,CN-SH,Longli Jia Tuo Mountain Windfarm,1797,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f01782,15532,0,2183.991666666670,32674912,32674912,32674912.000000000,1197.8642435451600
