agreement_line,contract,batch,country,region,type,technology,start,end,volume_MWh
1,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,796,NL,,GO,"Wind, Solar",2021-01-01,2021-06-30,148
2,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,797,NL,,GO,"Wind, Solar",2021-07-01,2021-12-31,1771
3,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,795,DE,,GO,"Wind, Solar",2021-01-01,2021-03-31,320
4,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,798,DE,,GO,"Wind, Solar",2021-04-01,2021-06-30,8281
5,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,799,DE,,GO,"Wind, Solar",2021-10-31,2021-12-31,5974
6,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,800,FR,,GO,"Wind, Solar",2021-01-01,2021-12-31,91
7,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,801,BE,,GO,"Wind, Solar",2021-01-01,2021-06-30,173
8,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,802,BE,,GO,"Wind, Solar",2021-07-01,2021-12-31,1655
9,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,803,GB,,REGO,"Wind, Solar",2021-01-01,2021-12-31,228
10,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,804,NO,,GO,"Wind, Solar",2021-01-01,2021-12-31,525
11,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,805,DK,,GO,"Wind, Solar",2021-01-01,2021-12-31,61
12,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,806,BG,,GO,Hydro,2021-01-01,2021-12-31,123
13,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,807,PL,,GO,"Wind, Solar",2021-01-01,2021-12-31,101
19,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,808,JP,,NFC,"Wind, Solar",2021-01-01,2021-12-31,6013
20,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,809,US,,Green-E REC,"Wind, Solar",2020-01-01,2020-12-31,9
21,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,810,US,MRO,Green-E REC,"Wind, Solar",2020-01-01,2020-12-31,11
22,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,811,US,WECC,Green-E REC,"Wind, Solar",2020-01-01,2020-12-31,4039
23,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,812,US,,Green-E REC,"Wind, Solar",2021-01-01,2021-12-31,216
24,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,813,US,MRO,Green-E REC,"Wind, Solar",2021-01-01,2021-06-30,581
25,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,814,US,WECC,Green-E REC,"Wind, Solar",2021-07-01,2021-12-31,6254
26,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,815,US,WECC,Green-E REC,"Wind, Solar",2021-01-01,2021-06-30,2681
