"attestation_id","redemption_process","contract_id","allocation_id","smart_contract_address","batchID","network","zl_protocol_version","minerID","beneficiary","beneficiary_country","beneficiary_location","supply_country","volume_required","start_date","end_date","redemption_purpose","attestation_folder"
"20220420_SP_FF_transaction_1_attestation_1","automatic","20220420_SP_FF_transaction_1_contract_1","20220420_SP_FF_transaction_1_allocation_1","0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",3888,246,"ZL 1.0.0","f082635","Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3888 - Filecoin minerID f082635","CN","CN","CN",446,"2022-01-01","2022-03-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 3888. The certificates will be created as tokens of type ERC1888-Topic1 This redemption is matched to Filecoin minerID f082635","20220510_ACT_PL_transaction_1_delivery_1"
"20220420_SP_FF_transaction_1_attestation_2","automatic","20220420_SP_FF_transaction_1_contract_1","20220420_SP_FF_transaction_1_allocation_2","0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",3889,246,"ZL 1.0.0","f022289","Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3889 - Filecoin minerID f022289","CN","CN","CN",91,"2022-01-01","2022-03-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 3889. The certificates will be created as tokens of type ERC1888-Topic1 This redemption is matched to Filecoin minerID f022289","20220510_ACT_PL_transaction_1_delivery_1"
"20220420_SP_FF_transaction_1_attestation_3","automatic","20220420_SP_FF_transaction_1_contract_1","20220420_SP_FF_transaction_1_allocation_3","0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",3890,246,"ZL 1.0.0","f019362","Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3890 - Filecoin minerID f019362","CN","CN","CN",11,"2022-01-01","2022-03-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 3890. The certificates will be created as tokens of type ERC1888-Topic1 This redemption is matched to Filecoin minerID f019362","20220510_ACT_PL_transaction_1_delivery_1"
"20220420_SP_FF_transaction_1_attestation_4","automatic","20220420_SP_FF_transaction_1_contract_1","20220420_SP_FF_transaction_1_allocation_4","0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",3891,246,"ZL 1.0.0","f07998","Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3891 - Filecoin minerID f07998","CN","CN","CN",5,"2022-01-01","2022-03-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 3891. The certificates will be created as tokens of type ERC1888-Topic1 This redemption is matched to Filecoin minerID f07998","20220510_ACT_PL_transaction_1_delivery_1"
"20220420_SP_FF_transaction_1_attestation_5","automatic","20220420_SP_FF_transaction_1_contract_1","20220420_SP_FF_transaction_1_allocation_5","0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",3892,246,"ZL 1.0.0","f02606","Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3892 - Filecoin minerID f02606","CN","CN","CN",77,"2022-01-01","2022-03-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 3892. The certificates will be created as tokens of type ERC1888-Topic1 This redemption is matched to Filecoin minerID f02606","20220510_ACT_PL_transaction_1_delivery_1"
"20220420_SP_FF_transaction_1_attestation_6","automatic","20220420_SP_FF_transaction_1_contract_1","20220420_SP_FF_transaction_1_allocation_6","0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",3893,246,"ZL 1.0.0","f0147496","Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3893 - Filecoin minerID f0147496","CN","CN","CN",422,"2022-01-01","2022-03-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 3893. The certificates will be created as tokens of type ERC1888-Topic1 This redemption is matched to Filecoin minerID f0147496","20220510_ACT_PL_transaction_1_delivery_1"
"20220420_SP_FF_transaction_1_attestation_7","automatic","20220420_SP_FF_transaction_1_contract_1","20220420_SP_FF_transaction_1_allocation_7","0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",3894,246,"ZL 1.0.0","f0133235","Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3894 - Filecoin minerID f0133235","CN","CN","CN",119,"2022-01-01","2022-03-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 3894. The certificates will be created as tokens of type ERC1888-Topic1 This redemption is matched to Filecoin minerID f0133235","20220510_ACT_PL_transaction_1_delivery_1"
"20220420_SP_FF_transaction_1_attestation_8","automatic","20220420_SP_FF_transaction_1_contract_1","20220420_SP_FF_transaction_1_allocation_8","0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",3895,246,"ZL 1.0.0","f0536177","Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3895 - Filecoin minerID f0536177","CN","CN","CN",58,"2022-01-01","2022-03-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 3895. The certificates will be created as tokens of type ERC1888-Topic1 This redemption is matched to Filecoin minerID f0536177","20220510_ACT_PL_transaction_1_delivery_1"
"20220420_SP_FF_transaction_1_attestation_9","automatic","20220420_SP_FF_transaction_1_contract_1","20220420_SP_FF_transaction_1_allocation_9","0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",3896,246,"ZL 1.0.0","f0711266","Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3896 - Filecoin minerID f0711266","CN","CN","CN",116,"2022-01-01","2022-03-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 3896. The certificates will be created as tokens of type ERC1888-Topic1 This redemption is matched to Filecoin minerID f0711266","20220510_ACT_PL_transaction_1_delivery_1"
"20220420_SP_FF_transaction_1_attestation_10","automatic","20220420_SP_FF_transaction_1_contract_1","20220420_SP_FF_transaction_1_allocation_10","0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",3897,246,"ZL 1.0.0","f02299","Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3897 - Filecoin minerID f02299","CN","CN","CN",7,"2022-01-01","2022-03-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 3897. The certificates will be created as tokens of type ERC1888-Topic1 This redemption is matched to Filecoin minerID f02299","20220510_ACT_PL_transaction_1_delivery_1"
