"certificate","volume_MWh","order_folder","contract","minerID","contract_country","certificate_country","country_match","contract_region","certificate_region","region_match","contract_start","certificate_start","start_match","contract_end","certificate_end","end_match","cert_within_contract","country_region_and_certWithinContract"
"20220429_SP_delivery_1_certificate_1",16,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f01152","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_2_certificate_2",200,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f01155","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_3_certificate_3",212,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f01241","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_4_certificate_4",1052,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f01272","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_5_certificate_5",21,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f01279","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_6_certificate_6",303,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f01280","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_7_certificate_7",107,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f01287","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_8_certificate_8",148,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f01289","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_9_certificate_9",158,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f01314","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_10_certificate_10",1797,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f01782","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_11_certificate_11",7,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f02299","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_12_certificate_12",7,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f02381","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_13_certificate_13",168,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f02399","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
