Location,start,end,MWh,Product,Tech
Netherlands 1H21,2021-01-01,2021-06-30,148.00,GoO,Wind/Solar
Netherlands 2H21,2021-07-01,2021-12-31,"1,771.00",GoO,Wind/Solar
Germany Q1 (9750),2021-01-01,2021-03-31,320.00,GoO,Wind/Solar
Germany Q2 (8281),2021-01-04,2021-06-30,"8,281.00",GoO,Wind/Solar
Germany Q4 (7087),2021-10-01,2021-12-31,"5,974.00",GoO,Wind/Solar
France 2021,2021-01-01,2021-12-31,91.00,GoO ,Wind/Solar
Belgium 1H21,2021-01-01,2021-06-30,173.00,GoO ,Wind/Solar
Belgium 2H21,2021-07-01,2021-12-31,"1,655.00",GoO ,Wind/Solar
UK 2021,2021-01-01,2021-12-31,228.00,REGO,Wind/Solar
Norway 2021,2021-01-01,2021-12-31,525.00,GoO,Wind/Solar
Denmark 2021,2021-01-01,2021-12-31,61.00,GoO,Wind/Solar
Bulgaria 2021,2021-01-01,2021-12-31,123.00,GoO,Hydro
Poland 2021,2021-01-01,2021-12-31,101.00,GoO,Wind/Solar
China 2020,2020-01-01,2020-12-31,"103,367.00",I-REC,Wind
China 1Q21,2021-01-01,2021-03-31,"92,561.00",I-REC,Wind
China 2Q21,2021-01-04,2021-06-30,"154,576.00",I-REC,Wind
China 3Q21,2021-07-01,2021-09-30,"259,626.00",I-REC,Wind
China 4Q21,2021-10-01,2021-12-31,"208,026.00",I-REC,Wind
Japan 2021,2021-01-01,2021-12-31,"6,013.00",NFC,Wind/Solar
Any USA 2020 (136),2020-01-01,2020-12-31,9.00,Green-e,Wind/Solar
MRO 2020,2020-01-01,2020-12-31,11.00,Green-e,Wind/Solar
WECC 2020,2020-01-01,2020-12-31,"4,039.00",Green-e,Wind/Solar
Any USA 2021 (972),2021-01-01,2021-12-31,216.00,Green-e,Wind/Solar
MRO 1H21,2021-01-01,2021-06-30,581.00,Green-e,Wind/Solar
WECC,2021-07-01,2021-12-31,"6,254.00",Green-e,Wind/Solar
WECC,2021-01-01,2021-06-30,"2,681.00",Green-e,Wind/Solar
