"contract_id","productType","label","energySources","contractDate","deliveryDate","reportingStart","reportingEnd","sellerName","sellerAddress","country","region","volume_MWh","step3_match_complete","step4_ZL_contract_complete","step5_redemption_data_complete","step6_attestation_info_complete","step7_certificates_matched_to_supply","step8_IPLDrecord_complete","step9_transaction_complete","step10_volta_complete","step11_finalRecord_complete"
"20220501_ACT_PL_transaction_1_contract_1","GO","","wind, solar","20220501","20220630","2021-01-01","2021-06-30","ACT Commodities Inc.","437 Madison Avenue, Suite 17A, New York, NY, 10022, USA","NL","",148,0,0,0,0,0,0,0,0,0
"20220501_ACT_PL_transaction_1_contract_2","GO","","wind, solar","20220501","20220630","2021-07-01","2021-12-31","ACT Commodities Inc.","437 Madison Avenue, Suite 17A, New York, NY, 10022, USA","NL","","1,771.00",0,0,0,0,0,0,0,0,0
"20220501_ACT_PL_transaction_1_contract_3","GO","","wind, solar","20220501","20220630","2021-01-01","2021-03-31","ACT Commodities Inc.","437 Madison Avenue, Suite 17A, New York, NY, 10022, USA","DE","",320,0,0,0,0,0,0,0,0,0
"20220501_ACT_PL_transaction_1_contract_4","GO","","wind, solar","20220501","20220630","2021-01-04","2021-06-30","ACT Commodities Inc.","437 Madison Avenue, Suite 17A, New York, NY, 10022, USA","DE","","8,281.00",0,0,0,0,0,0,0,0,0
"20220501_ACT_PL_transaction_1_contract_5","GO","","wind, solar","20220501","20220630","2021-10-01","2021-12-31","ACT Commodities Inc.","437 Madison Avenue, Suite 17A, New York, NY, 10022, USA","DE","","5,974.00",0,0,0,0,0,0,0,0,0
"20220501_ACT_PL_transaction_1_contract_6","GO","","wind, solar","20220501","20220630","2021-01-01","2021-12-31","ACT Commodities Inc.","437 Madison Avenue, Suite 17A, New York, NY, 10022, USA","FR","",91,0,0,0,0,0,0,0,0,0
"20220501_ACT_PL_transaction_1_contract_7","GO","","wind, solar","20220501","20220630","2021-01-01","2021-06-30","ACT Commodities Inc.","437 Madison Avenue, Suite 17A, New York, NY, 10022, USA","BE","",173,0,0,0,0,0,0,0,0,0
"20220501_ACT_PL_transaction_1_contract_8","GO","","wind, solar","20220501","20220630","2021-07-01","2021-12-31","ACT Commodities Inc.","437 Madison Avenue, Suite 17A, New York, NY, 10022, USA","BE","","1,655.00",0,0,0,0,0,0,0,0,0
"20220501_ACT_PL_transaction_1_contract_9","REGO","","wind, solar","20220501","20220630","2021-01-01","2021-12-31","ACT Commodities Inc.","437 Madison Avenue, Suite 17A, New York, NY, 10022, USA","GB","",228,0,0,0,0,0,0,0,0,0
"20220501_ACT_PL_transaction_1_contract_10","GO","","wind, solar","20220501","20220630","2021-01-01","2021-12-31","ACT Commodities Inc.","437 Madison Avenue, Suite 17A, New York, NY, 10022, USA","NO","",525,0,0,0,0,0,0,0,0,0
"20220501_ACT_PL_transaction_1_contract_11","GO","","wind, solar","20220501","20220630","2021-01-01","2021-12-31","ACT Commodities Inc.","437 Madison Avenue, Suite 17A, New York, NY, 10022, USA","DK","",61,0,0,0,0,0,0,0,0,0
"20220501_ACT_PL_transaction_1_contract_12","GO","","hydro","20220501","20220630","2021-01-01","2021-12-31","ACT Commodities Inc.","437 Madison Avenue, Suite 17A, New York, NY, 10022, USA","BG","",123,0,0,0,0,0,0,0,0,0
"20220501_ACT_PL_transaction_1_contract_13","GO","","wind, solar","20220501","20220630","2021-01-01","2021-12-31","ACT Commodities Inc.","437 Madison Avenue, Suite 17A, New York, NY, 10022, USA","PL","",101,0,0,0,0,0,0,0,0,0
"20220501_ACT_PL_transaction_1_contract_14","IREC","","wind","20220501","20220630","2020-01-01","2020-12-31","ACT Commodities Inc.","437 Madison Avenue, Suite 17A, New York, NY, 10022, USA","CN","","103,367.00",0,0,0,0,0,0,0,0,0
"20220501_ACT_PL_transaction_1_contract_15","IREC","","wind","20220501","20220630","2021-01-01","2021-03-31","ACT Commodities Inc.","437 Madison Avenue, Suite 17A, New York, NY, 10022, USA","CN","","92,561.00",0,0,0,0,0,0,0,0,0
"20220501_ACT_PL_transaction_1_contract_16","IREC","","wind","20220501","20220630","2021-01-04","2021-06-30","ACT Commodities Inc.","437 Madison Avenue, Suite 17A, New York, NY, 10022, USA","CN","","154,576.00",0,0,0,0,0,0,0,0,0
"20220501_ACT_PL_transaction_1_contract_17","IREC","","wind","20220501","20220630","2021-07-01","2021-09-30","ACT Commodities Inc.","437 Madison Avenue, Suite 17A, New York, NY, 10022, USA","CN","","259,626.00",0,0,0,0,0,0,0,0,0
"20220501_ACT_PL_transaction_1_contract_18","IREC","","wind","20220501","20220630","2021-10-01","2021-12-31","ACT Commodities Inc.","437 Madison Avenue, Suite 17A, New York, NY, 10022, USA","CN","","208,026.00",0,0,0,0,0,0,0,0,0
"20220501_ACT_PL_transaction_1_contract_19","NFC","","wind, solar","20220501","20220630","2021-01-01","2021-12-31","ACT Commodities Inc.","437 Madison Avenue, Suite 17A, New York, NY, 10022, USA","JP","","6,013.00",0,0,0,0,0,0,0,0,0
"20220501_ACT_PL_transaction_1_contract_20","REC","GREEN_E_ENERGY","wind, solar","20220501","20220630","2020-01-01","2020-12-31","ACT Commodities Inc.","437 Madison Avenue, Suite 17A, New York, NY, 10022, USA","US","",9,0,0,0,0,0,0,0,0,0
"20220501_ACT_PL_transaction_1_contract_21","REC","GREEN_E_ENERGY","wind, solar","20220501","20220630","2020-01-01","2020-12-31","ACT Commodities Inc.","437 Madison Avenue, Suite 17A, New York, NY, 10022, USA","US","MRO",11,0,0,0,0,0,0,0,0,0
"20220501_ACT_PL_transaction_1_contract_22","REC","GREEN_E_ENERGY","wind, solar","20220501","20220630","2020-01-01","2020-12-31","ACT Commodities Inc.","437 Madison Avenue, Suite 17A, New York, NY, 10022, USA","US","WECC","4,039.00",0,0,0,0,0,0,0,0,0
"20220501_ACT_PL_transaction_1_contract_23","REC","GREEN_E_ENERGY","wind, solar","20220501","20220630","2021-01-01","2021-12-31","ACT Commodities Inc.","437 Madison Avenue, Suite 17A, New York, NY, 10022, USA","US","",216,0,0,0,0,0,0,0,0,0
"20220501_ACT_PL_transaction_1_contract_24","REC","GREEN_E_ENERGY","wind, solar","20220501","20220630","2021-01-01","2021-06-30","ACT Commodities Inc.","437 Madison Avenue, Suite 17A, New York, NY, 10022, USA","US","MRO",581,0,0,0,0,0,0,0,0,0
"20220501_ACT_PL_transaction_1_contract_25","REC","GREEN_E_ENERGY","wind, solar","20220501","20220630","2021-07-01","2021-12-31","ACT Commodities Inc.","437 Madison Avenue, Suite 17A, New York, NY, 10022, USA","US","WECC","6,254.00",0,0,0,0,0,0,0,0,0
"20220501_ACT_PL_transaction_1_contract_26","REC","GREEN_E_ENERGY","wind, solar","20220501","20220630","2021-01-01","2021-06-30","ACT Commodities Inc.","437 Madison Avenue, Suite 17A, New York, NY, 10022, USA","US","WECC","2,681.00",0,0,0,0,0,0,0,0,0
