"allocation_id","UUID","contract_id","minerID","volume_MWh","defaulted","step4_ZL_contract_complete","step5_redemption_data_complete","step6_attestation_info_complete","step7_certificates_matched_to_supply","step8_IPLDrecord_complete","step9_transaction_complete","step10_volta_complete","step11_finalRecord_complete","allocation_cid"
"20220501_ACT_PL_transaction_1_allocation_1","fa4a787b-0d76-4b7b-8839-1a53f1dbc629","20220501_ACT_PL_transaction_1_contract_2","f01201327",78,0,0,0,0,0,0,0,0,0,"bafyreig53imck44ppsymtscrw2altsx7qhqidzbrocctb3ofmlaijgib4q"
"20220501_ACT_PL_transaction_1_allocation_2","766a13f3-28b8-47f1-8d18-4815ddaeba51","20220501_ACT_PL_transaction_1_contract_8","f01345523",521,0,0,0,0,0,0,0,0,0,"bafyreidjf6222ane7l56rmmijd2l5e5h6ypj6cgv4x2tzspa6ecq4ifhga"
"20220501_ACT_PL_transaction_1_allocation_3","c6e0297d-66dc-4270-ae84-ae2e2dddd63f","20220501_ACT_PL_transaction_1_contract_9","f0694396",16,0,0,0,0,0,0,0,0,0,"bafyreifnwpqwravqxo2nno4kmwcz7lopmhzliyshry7rahl2thdn6kpytu"
"20220501_ACT_PL_transaction_1_allocation_4","ad10e467-2c66-43f8-bb59-be7c35d96e78","20220501_ACT_PL_transaction_1_contract_12","f020378",45,0,0,0,0,0,0,0,0,0,"bafyreiappfklidzbbfxjnjfobu5enqzyixoy5ueisn3uswyeycaxizieby"
"20220501_ACT_PL_transaction_1_allocation_5","49638fda-db6c-4b08-a89e-338ffcc134b0","20220501_ACT_PL_transaction_1_contract_13","f02620",21,0,0,0,0,0,0,0,0,0,"bafyreico6bciryuxctn4cmdjwmkljqek5otmhxfelifembzl5u2w574y4i"
"20220501_ACT_PL_transaction_1_allocation_6","585e7202-ed57-42f8-81b6-1b59d2663a0a","20220501_ACT_PL_transaction_1_contract_20","f047419",2,0,0,0,0,0,0,0,0,0,"bafyreic2xzajjh6bcmpi24qwukn6x2a3b2jgwojr6mjvtmri373wtxuck4"
"20220501_ACT_PL_transaction_1_allocation_7","9c579cfd-0bbd-474e-ae87-463b1aaff81a","20220501_ACT_PL_transaction_1_contract_20","f010088",7,0,0,0,0,0,0,0,0,0,"bafyreiaptkwkzmnokw355xwm5mmzxgt6bstyxqppvfaaerxh3h5oaf3hxm"
"20220501_ACT_PL_transaction_1_allocation_8","b4dda5ba-4720-4a38-b1f9-5605b8739e22","20220501_ACT_PL_transaction_1_contract_23","f047419",17,0,0,0,0,0,0,0,0,0,"bafyreia3zmcqask3vqdhgjhaqsycoujzxvpcvucljcvk7i2q6m5lt6brqi"
"20220501_ACT_PL_transaction_1_allocation_9","c756b35a-4b81-4ac6-9f83-1eafef8b2af8","20220501_ACT_PL_transaction_1_contract_23","f0717969",199,0,0,0,0,0,0,0,0,0,"bafyreibwc32ypvulkos22ik7vzdorvtfapywhzg66jyh5agvk73p6lor6i"
"20220501_ACT_PL_transaction_1_allocation_10","ed9ef3ad-e33b-4065-a65e-9481195bcf47","20220501_ACT_PL_transaction_1_contract_1","f0707721",44,0,0,0,0,0,0,0,0,0,"bafyreics7so5v2rofkz46xwe7vriqxnjxejsrnspsirqcagzr4uobmdcva"
"20220501_ACT_PL_transaction_1_allocation_11","1b159497-79d3-4669-9546-23b2c6fed4d1","20220501_ACT_PL_transaction_1_contract_1","f01240",59,0,0,0,0,0,0,0,0,0,"bafyreiffiebf4etiph3jbrjqpien3r72xhtm4aecozvk2himasuvcvsu4i"
"20220501_ACT_PL_transaction_1_allocation_12","68e41aae-b359-45dd-8cc3-e32d497daf66","20220501_ACT_PL_transaction_1_contract_2","f01208862",66,0,0,0,0,0,0,0,0,0,"bafyreidyn6xkunk4kqfw3uiin2po7rgzta7v7ucylfjtxwmfjqevstkyeu"
"20220501_ACT_PL_transaction_1_allocation_13","38abce97-2e9b-45d4-80df-bf007064b881","20220501_ACT_PL_transaction_1_contract_2","f01199430",70,0,0,0,0,0,0,0,0,0,"bafyreifuvdcschwbcrux5oelfuba4ko5e7qvo6ancxs3mvmiwnyob6vkru"
"20220501_ACT_PL_transaction_1_allocation_14","de3c2aee-4e15-4e11-847e-8cff84019de2","20220501_ACT_PL_transaction_1_contract_2","f0707721",77,0,0,0,0,0,0,0,0,0,"bafyreihiaxkvbuwsif5ww3tsig6pstdtf63hpd7pia3midc32fdjgp6b3e"
"20220501_ACT_PL_transaction_1_allocation_15","f8e4ae53-1e76-40a7-a25f-4b1dfdf5ff3f","20220501_ACT_PL_transaction_1_contract_2","f01392893",781,0,0,0,0,0,0,0,0,0,"bafyreig5mt3dolkk6wyctqkuanh5c6sanu7rdicnbftumdvqcmfa7t6nji"
"20220501_ACT_PL_transaction_1_allocation_16","6a05ae41-1f0e-4e25-982a-360e23edd580","20220501_ACT_PL_transaction_1_contract_2","f01199442",89,0,0,0,0,0,0,0,0,0,"bafyreiemrwhbcqt6srpzp2fs7mevy4ddf77q3urzfb5q2plcwapqdnz2ru"
"20220501_ACT_PL_transaction_1_allocation_17","5173db89-1980-4896-a8e1-8e23d5ed92c5","20220501_ACT_PL_transaction_1_contract_2","f01240",78,0,0,0,0,0,0,0,0,0,"bafyreictqcqx577fo5vzqmukcawcfa6a4pus2soqjnli66zh3s3rlp66zy"
