"attestation_id","data_source","contract_id","allocation_id","smart_contract_address","batchID","network","zl_protocol_version","minerID","beneficiary","beneficiary_country","supply_country","supply_location","volume_required","start_date","end_date","redemption_purpose","attestation_folder"
"20220501_ACT_PL_transaction_1_attestation_0","auto","20220501_ACT_PL_transaction_1_contract_1",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",816,246,"ZL 1.0.0",,"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 816 ","NL",,,,"2021-01-01","2021-06-30","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 816. The certificates will be created as tokens of type ERC1888-Topic1 ","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_1","auto","20220501_ACT_PL_transaction_1_contract_2",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",817,246,"ZL 1.0.0",,"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 817 ","NL",,,,"2021-07-01","2021-12-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 817. The certificates will be created as tokens of type ERC1888-Topic1 ","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_2","auto","20220501_ACT_PL_transaction_1_contract_3",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",818,246,"ZL 1.0.0",,"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 818 ","DE",,,,"2021-01-01","2021-03-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 818. The certificates will be created as tokens of type ERC1888-Topic1 ","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_3","auto","20220501_ACT_PL_transaction_1_contract_4",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",819,246,"ZL 1.0.0",,"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 819 ","DE",,,,"2021-01-04","2021-06-30","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 819. The certificates will be created as tokens of type ERC1888-Topic1 ","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_4","auto","20220501_ACT_PL_transaction_1_contract_5",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",820,246,"ZL 1.0.0",,"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 820 ","DE",,,,"2021-10-01","2021-12-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 820. The certificates will be created as tokens of type ERC1888-Topic1 ","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_5","auto","20220501_ACT_PL_transaction_1_contract_6",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",821,246,"ZL 1.0.0",,"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 821 ","FR",,,,"2021-01-01","2021-12-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 821. The certificates will be created as tokens of type ERC1888-Topic1 ","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_6","auto","20220501_ACT_PL_transaction_1_contract_7",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",822,246,"ZL 1.0.0",,"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 822 ","BE",,,,"2021-01-01","2021-06-30","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 822. The certificates will be created as tokens of type ERC1888-Topic1 ","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_7","auto","20220501_ACT_PL_transaction_1_contract_8",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",823,246,"ZL 1.0.0",,"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 823 ","BE",,,,"2021-07-01","2021-12-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 823. The certificates will be created as tokens of type ERC1888-Topic1 ","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_8","auto","20220501_ACT_PL_transaction_1_contract_9",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",824,246,"ZL 1.0.0",,"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 824 ","GB",,,,"2021-01-01","2021-12-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 824. The certificates will be created as tokens of type ERC1888-Topic1 ","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_9","auto","20220501_ACT_PL_transaction_1_contract_10",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",825,246,"ZL 1.0.0",,"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 825 ","NO",,,,"2021-01-01","2021-12-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 825. The certificates will be created as tokens of type ERC1888-Topic1 ","20220510_ACT_PL_transaction_1_delivery_1"
