"attestation_id","redemption_process","contract_id","allocation_id","smart_contract_address","batchID","network","zl_protocol_version","minerID","beneficiary","beneficiary_country","beneficiary_location","supply_country","volume_required","start_date","end_date","redemption_purpose","attestation_folder"
"20220501_ACT_PL_transaction_1_attestation_1","manual","20220501_ACT_PL_transaction_1_contract_3",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",795,246,"ZL 1.0.0",,"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 795 ","DE",,"DE","320","2021-01-01","2021-03-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 795. The certificates will be created as tokens of type ERC1888-Topic1 ","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_2","manual","20220501_ACT_PL_transaction_1_contract_20",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",796,246,"ZL 1.0.0",,"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 796 ","US",,"US","9","2020-01-01","2020-12-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 796. The certificates will be created as tokens of type ERC1888-Topic1 ","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_3","manual","20220501_ACT_PL_transaction_1_contract_21",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",797,246,"ZL 1.0.0",,"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 797 ","US",,"US","11","2020-01-01","2020-12-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 797. The certificates will be created as tokens of type ERC1888-Topic1 ","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_4","manual","20220501_ACT_PL_transaction_1_contract_22",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",798,246,"ZL 1.0.0",,"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 798 ","US",,"US","4039","2020-01-01","2020-12-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 798. The certificates will be created as tokens of type ERC1888-Topic1 ","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_5","manual","20220501_ACT_PL_transaction_1_contract_23",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",799,246,"ZL 1.0.0",,"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 799 ","US",,"US","216","2021-01-01","2021-12-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 799. The certificates will be created as tokens of type ERC1888-Topic1 ","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_6","manual","20220501_ACT_PL_transaction_1_contract_24",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",800,246,"ZL 1.0.0",,"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 800 ","US",,"US","581","2021-01-01","2021-06-30","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 800. The certificates will be created as tokens of type ERC1888-Topic1 ","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_7","manual","20220501_ACT_PL_transaction_1_contract_26",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",801,246,"ZL 1.0.0",,"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 801 ","US",,"US","2681","2021-01-01","2021-06-30","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 801. The certificates will be created as tokens of type ERC1888-Topic1 ","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_8","manual","20220501_ACT_PL_transaction_1_contract_25",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",802,246,"ZL 1.0.0",,"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 802 ","US",,"US","6254","2021-07-01","2021-12-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 802. The certificates will be created as tokens of type ERC1888-Topic1 ","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_9","manual","20220501_ACT_PL_transaction_1_contract_1",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",803,246,"ZL 1.0.0",,"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 803 ","NL",,"NL","148","2021-01-01","2021-06-30","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 803. The certificates will be created as tokens of type ERC1888-Topic1 ","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_10","manual","20220501_ACT_PL_transaction_1_contract_2",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",804,246,"ZL 1.0.0",,"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 804 ","NL",,"NL","1771","2021-07-01","2021-12-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 804. The certificates will be created as tokens of type ERC1888-Topic1 ","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_11","manual","20220501_ACT_PL_transaction_1_contract_4",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",805,246,"ZL 1.0.0",,"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 805 ","DE",,"DE","8281","2021-01-04","2021-06-30","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 805. The certificates will be created as tokens of type ERC1888-Topic1 ","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_12","manual","20220501_ACT_PL_transaction_1_contract_5",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",806,246,"ZL 1.0.0",,"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 806 ","DE",,"DE","5974","2021-10-01","2021-12-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 806. The certificates will be created as tokens of type ERC1888-Topic1 ","20220510_ACT_PL_transaction_1_delivery_1"
