"attestation_id","attestation_file","attestation_cid","certificate","certificate_cid","reportingStart","reportingStartTimezoneOffset","reportingEnd","reportingEndTimezoneOffset","sellerName","sellerAddress","country","region","volume_Wh","generatorName","productType","label","energySource","generationStart","generationStartTimezoneOffset","generationEnd","generationEndTimezoneOffset"
"20220501_ACT_PL_transaction_1_attestation_1","0x2248a8E53c8cf533AEEf2369 FfF9Dc8C036c8900-795.pdf","bafkreigj47tjawhcmcjjjc6jab4ws6bkilgbq5vfkd4zeafza2boxxpiyq","20220510_ACT_PL_transaction_1_delivery_1_certificate_1","bafyreics47kqbolzyjoee4rrw7hfr2e7ezhusr6dgnih4ce5biczrgbu4y","2021-01-01T00:00:00.000Z",,"2021-12-31T00:00:00.000Z",,"ACT Commodities Inc.","437 Madison Ave. Suite 17A, New York, NY, 10022, USA","DE",,148000000,"WP-Seiwerath 1","GO",,"wind","2021-03-01T00:00:00.000Z",,"2021-03-31T00:00:00.000Z",
"20220501_ACT_PL_transaction_1_attestation_1","0x2248a8E53c8cf533AEEf2369 FfF9Dc8C036c8900-795.pdf","bafkreigj47tjawhcmcjjjc6jab4ws6bkilgbq5vfkd4zeafza2boxxpiyq","20220510_ACT_PL_transaction_1_delivery_1_certificate_2","bafyreic6zjjhs2eispmra736szioprnt3pnkqduwcv2kbclovo46hohmq4","2021-01-01T00:00:00.000Z",,"2021-12-31T00:00:00.000Z",,"ACT Commodities Inc.","437 Madison Ave. Suite 17A, New York, NY, 10022, USA","DE",,172000000,"WP-Seiwerath 1","GO",,"wind","2021-03-01T00:00:00.000Z",,"2021-03-31T00:00:00.000Z",
"20220501_ACT_PL_transaction_1_attestation_2","0x2248a8E53c8cf533AEEf2369 FfF9Dc8C036c8900-796.pdf","bafkreihp7b74fpjksgkdwzjxikpz64eh6ohvjbsn46ff6jirjdi2d5ox7e","20220510_ACT_PL_transaction_1_delivery_1_certificate_3","bafyreiedcbt6qhdontc6cfqfjj3xqfmskk7dkwcurpdlarbmutvtikuowq","2021-01-01T00:00:00.000Z",,"2021-12-31T00:00:00.000Z",,"ACT Commodities Inc.","437 Madison Ave. Suite 17A, New York, NY, 10022, USA","USA","MRO",9000000,"Buckeye Wind Farm","REC",,"wind","2020-12-01T00:00:00.000Z",,"2020-12-31T00:00:00.000Z",
"20220501_ACT_PL_transaction_1_attestation_3","0x2248a8E53c8cf533AEEf2369 FfF9Dc8C036c8900-797.pdf","bafkreiffvcvmszjo6ln2urimtx3a47qtwkqd66bh3den2sxisstduu6ihe","20220510_ACT_PL_transaction_1_delivery_1_certificate_4","bafyreihhjpgbzk2cwgzb2ad5r2oje3rf4btx2vkisdoal6qbr7nrw3v57q","2021-01-01T00:00:00.000Z",,"2021-12-31T00:00:00.000Z",,"ACT Commodities Inc.","437 Madison Ave. Suite 17A, New York, NY, 10022, USA","USA","MRO",11000000,"Buckeye Wind Farm","REC",,"wind","2020-12-01T00:00:00.000Z",,"2020-12-31T00:00:00.000Z",
"20220501_ACT_PL_transaction_1_attestation_4","0x2248a8E53c8cf533AEEf2369 FfF9Dc8C036c8900-798.pdf","bafkreielnrm7ymk3cp23gcqc66bltmbwmcofjhwjzofhlda7oel5luuy6e","20220510_ACT_PL_transaction_1_delivery_1_certificate_5","bafyreiguysk4mxcw2lnuwny64cva63yiokaj4jiewdqqmulfaiadej5p2i","2021-01-01T00:00:00.000Z",,"2021-12-31T00:00:00.000Z",,"ACT Commodities Inc.","437 Madison Ave. Suite 17A, New York, NY, 10022, USA","USA","WECC",4039000000,"Spring Canyon II Wind Energy Center","REC","GREEN-E","wind","2020-09-01T00:00:00.000Z",,"2020-09-30T00:00:00.000Z",
"20220501_ACT_PL_transaction_1_attestation_5","0x2248a8E53c8cf533AEEf2369 FfF9Dc8C036c8900-799.pdf","bafybeiaorps7b3eoj2kdyzt5xsae6ungizzh3ferg5gjfywwjrdsdpx3nq","20220510_ACT_PL_transaction_1_delivery_1_certificate_6","bafyreic5j536of6ew25djxawtjbwfkeuyb62dsc3k5bataba6xzj6vkuny","2021-01-01T00:00:00.000Z",,"2021-12-31T00:00:00.000Z",,"ACT Commodities Inc.","437 Madison Ave. Suite 17A, New York, NY, 10022, USA","USA","MRO",44000000,"Buckeye Wind Farm","REC",,"wind","2021-01-01T00:00:00.000Z",,"2021-01-31T00:00:00.000Z",
"20220501_ACT_PL_transaction_1_attestation_5","0x2248a8E53c8cf533AEEf2369 FfF9Dc8C036c8900-799.pdf","bafybeiaorps7b3eoj2kdyzt5xsae6ungizzh3ferg5gjfywwjrdsdpx3nq","20220510_ACT_PL_transaction_1_delivery_1_certificate_7","bafyreidhq5oxfpjyxq5fsj5kk2jgfccuq2pt4ka3qwu6kymgnr3hjizy6i","2021-01-01T00:00:00.000Z",,"2021-12-31T00:00:00.000Z",,"ACT Commodities Inc.","437 Madison Ave. Suite 17A, New York, NY, 10022, USA","USA","MRO",65000000,"Buckeye Wind Farm","REC",,"wind","2021-06-01T00:00:00.000Z",,"2021-06-30T00:00:00.000Z",
"20220501_ACT_PL_transaction_1_attestation_5","0x2248a8E53c8cf533AEEf2369 FfF9Dc8C036c8900-799.pdf","bafybeiaorps7b3eoj2kdyzt5xsae6ungizzh3ferg5gjfywwjrdsdpx3nq","20220510_ACT_PL_transaction_1_delivery_1_certificate_8","bafyreihoydq6mgw447j2qbpitp3czi3dpt77vd235syp64z3o6ys6mpazy","2021-01-01T00:00:00.000Z",,"2021-12-31T00:00:00.000Z",,"ACT Commodities Inc.","437 Madison Ave. Suite 17A, New York, NY, 10022, USA","USA","MRO",107000000,"Buckeye Wind Farm","REC",,"wind","2021-02-01T00:00:00.000Z",,"2021-02-28T00:00:00.000Z",
"20220501_ACT_PL_transaction_1_attestation_6","0x2248a8E53c8cf533AEEf2369 FfF9Dc8C036c8900-800.pdf","bafybeidq6nxv35hduesiylxo4xn33j4zskxqzkkow7xabwmiks3365zdsu","20220510_ACT_PL_transaction_1_delivery_1_certificate_9","bafyreihlw4ntewzsk5a22fbiup3wczjqjmqet5tbvhtupuavnpbpvktify","2021-01-01T00:00:00.000Z",,"2021-12-31T00:00:00.000Z",,"ACT Commodities Inc.","437 Madison Ave. Suite 17A, New York, NY, 10022, USA","USA","MRO",59000000,"Buckeye Wind Farm","REC",,"wind","2021-06-01T00:00:00.000Z",,"2021-06-30T00:00:00.000Z",
"20220501_ACT_PL_transaction_1_attestation_6","0x2248a8E53c8cf533AEEf2369 FfF9Dc8C036c8900-800.pdf","bafybeidq6nxv35hduesiylxo4xn33j4zskxqzkkow7xabwmiks3365zdsu","20220510_ACT_PL_transaction_1_delivery_1_certificate_10","bafyreiazralbtvakajedoe2neozjfb7x6hkxryr72hvgxulnztrf42augi","2021-01-01T00:00:00.000Z",,"2021-12-31T00:00:00.000Z",,"ACT Commodities Inc.","437 Madison Ave. Suite 17A, New York, NY, 10022, USA","USA","MRO",158000000,"Buckeye Wind Farm","REC",,"wind","2021-05-01T00:00:00.000Z",,"2021-05-31T00:00:00.000Z",
"20220501_ACT_PL_transaction_1_attestation_6","0x2248a8E53c8cf533AEEf2369 FfF9Dc8C036c8900-800.pdf","bafybeidq6nxv35hduesiylxo4xn33j4zskxqzkkow7xabwmiks3365zdsu","20220510_ACT_PL_transaction_1_delivery_1_certificate_11","bafyreifwp366ctji3dffetc7oy3aajzf7vib3fjfhw3nphjbmw7fq52yqm","2021-01-01T00:00:00.000Z",,"2021-12-31T00:00:00.000Z",,"ACT Commodities Inc.","437 Madison Ave. Suite 17A, New York, NY, 10022, USA","USA","MRO",187000000,"Buckeye Wind Farm","REC",,"wind","2021-04-01T00:00:00.000Z",,"2021-04-30T00:00:00.000Z",
"20220501_ACT_PL_transaction_1_attestation_6","0x2248a8E53c8cf533AEEf2369 FfF9Dc8C036c8900-800.pdf","bafybeidq6nxv35hduesiylxo4xn33j4zskxqzkkow7xabwmiks3365zdsu","20220510_ACT_PL_transaction_1_delivery_1_certificate_12","bafyreihji2c5uiv52yd7ynh66c5bmkrapwdmxcdc5ld7k6iotrdff6mrjm","2021-01-01T00:00:00.000Z",,"2021-12-31T00:00:00.000Z",,"ACT Commodities Inc.","437 Madison Ave. Suite 17A, New York, NY, 10022, USA","USA","MRO",177000000,"Buckeye Wind Farm","REC",,"wind","2021-03-01T00:00:00.000Z",,"2021-03-31T00:00:00.000Z",
"20220501_ACT_PL_transaction_1_attestation_7","0x2248a8E53c8cf533AEEf2369 FfF9Dc8C036c8900-801.pdf","bafkreibjfyhl3l75z5rmzw5flzghvfrj26mbylws5ftsxss4muumsiqo74","20220510_ACT_PL_transaction_1_delivery_1_certificate_13","bafyreicehmppd5mra6eysr465agdniywp2vdotvysdji3rhbvclpiurqk4","2021-01-01T00:00:00.000Z",,"2021-12-31T00:00:00.000Z",,"ACT Commodities Inc.","437 Madison Ave. Suite 17A, New York, NY, 10022, USA","USA","WECC",2681000000,"Spring Canyon II Wind Energy Center","REC","GREEN-E","wind","2021-01-01T00:00:00.000Z",,"2021-01-31T00:00:00.000Z",
"20220501_ACT_PL_transaction_1_attestation_8","0x2248a8E53c8cf533AEEf2369 FfF9Dc8C036c8900-802.pdf","bafkreiftqywit6zgisxbmjpkazlymua5ckgvpaj42cjzzzlpuhpngctkoq","20220510_ACT_PL_transaction_1_delivery_1_certificate_14","bafyreiam4cizroawgjqqifndr5ugyw3xqtxdvtynbaxogolkl4sp4y42ai","2021-01-01T00:00:00.000Z",,"2021-12-31T00:00:00.000Z",,"ACT Commodities Inc.","437 Madison Ave. Suite 17A, New York, NY, 10022, USA","USA","WECC",6254000000,"Spring Canyon II Wind Energy Center","REC","GREEN-E","wind","2021-07-01T00:00:00.000Z",,"2021-07-31T00:00:00.000Z",
"20220501_ACT_PL_transaction_1_attestation_21","NFC1_202104_01500701.pdf","bafybeidvxi3istni2fqw7gqcv57xec4kx6uskqpfdbfqhteloscl3chblq","20220510_ACT_PL_transaction_1_delivery_1_certificate_15","bafyreibg55gwyodohyf5eaza2hyvt6s6kj6dmvwtze4armlhjtzhzzbgva","2021-10-01T00:00:00.000Z",,"2021-12-31T00:00:00.000Z",,"ACT Commodities Inc.","437 Madison Ave. Suite 17A, New York, NY, 10022, USA","JP",,6013000000,"A651935B03","NFC",,"solar","2021-10-01T00:00:00.000Z",,"2021-12-31T00:00:00.000Z",
"20220501_ACT_PL_transaction_1_attestation_13","2022_ACT_Solar_91MWh_FR.pdf","bafkreihmvptu53mnstlg7ct6bc47qnylrxtyzzr3mdlir4vzlpktqmwjq4","20220510_ACT_PL_transaction_1_delivery_1_certificate_16","bafyreiddgeul5o6xlvc2pgvvg7mhvmmzhcti46ofda2xw2qhvlvwm2snx4","2021-07-01T00:00:00.000Z",,"2021-07-31T00:00:00.000Z",,"ACT Commodities Inc.","437 Madison Ave. Suite 17A, New York, NY, 10022, USA","FR",,44000000,"TECHNIQUE SOLAIRE INVEST 31 PERE...","GO",,"solar_thermal","2021-07-01T00:00:00.000Z",,"2021-07-31T00:00:00.000Z",
"20220501_ACT_PL_transaction_1_attestation_13","2022_ACT_Solar_91MWh_FR.pdf","bafkreihmvptu53mnstlg7ct6bc47qnylrxtyzzr3mdlir4vzlpktqmwjq4","20220510_ACT_PL_transaction_1_delivery_1_certificate_17","bafyreifs2nkoxd4ctp4laiiqlwefqfdtcv75k4jp7uo2prwwcisdafpxwm","2021-07-01T00:00:00.000Z",,"2021-07-31T00:00:00.000Z",,"ACT Commodities Inc.","437 Madison Ave. Suite 17A, New York, NY, 10022, USA","FR",,6000000,"MCD8 MCD804","GO",,"solar_thermal","2021-07-01T00:00:00.000Z",,"2021-07-31T00:00:00.000Z",
"20220501_ACT_PL_transaction_1_attestation_13","2022_ACT_Solar_91MWh_FR.pdf","bafkreihmvptu53mnstlg7ct6bc47qnylrxtyzzr3mdlir4vzlpktqmwjq4","20220510_ACT_PL_transaction_1_delivery_1_certificate_18","bafyreiamoonpf2sti7xl6pmd3kwpx65u2iwbdezcxohqg2k7czmbifktf4","2021-07-01T00:00:00.000Z",,"2021-07-31T00:00:00.000Z",,"ACT Commodities Inc.","437 Madison Ave. Suite 17A, New York, NY, 10022, USA","FR",,2000000,"AMICUS ENERGIE LA BOISSONNERIE ","GO",,"solar_thermal","2021-07-01T00:00:00.000Z",,"2021-07-31T00:00:00.000Z",
"20220501_ACT_PL_transaction_1_attestation_13","2022_ACT_Solar_91MWh_FR.pdf","bafkreihmvptu53mnstlg7ct6bc47qnylrxtyzzr3mdlir4vzlpktqmwjq4","20220510_ACT_PL_transaction_1_delivery_1_certificate_19","bafyreifi2nodqk26efytmarljjqjm7rdym6kbyiiek2emgasma62bil5wa","2021-07-01T00:00:00.000Z",,"2021-07-31T00:00:00.000Z",,"ACT Commodities Inc.","437 Madison Ave. Suite 17A, New York, NY, 10022, USA","FR",,39000000,"HELIO GEN ACA-SEIGNEURIE ","GO",,"solar_thermal","2021-07-01T00:00:00.000Z",,"2021-07-31T00:00:00.000Z",
"20220501_ACT_PL_transaction_1_attestation_14","20220530_GOs_BE.pdf","bafkreihqtnzlep3ip63enp2prqw4kcrcmdjwhop43cj77l7dz7qj5ktbx4","20220510_ACT_PL_transaction_1_delivery_1_certificate_20","bafyreifof5khweerwnczlqwnq3e2ugql3wp4zxfxybhokrobhpg64bjeue","2021-01-01T00:00:00.000Z",,"2021-12-31T00:00:00.000Z",,"ACT Commodities Inc.","437 Madison Ave. Suite 17A, New York, NY, 10022, USA","BE",,16000000,,"GO",,"solar","2021-06-30",,"2022-06-30",
"20220501_ACT_PL_transaction_1_attestation_14","20220530_GOs_BE.pdf","bafkreihqtnzlep3ip63enp2prqw4kcrcmdjwhop43cj77l7dz7qj5ktbx4","20220510_ACT_PL_transaction_1_delivery_1_certificate_21","bafyreifoha3m2yk5fsc2s4id4hi3co76jwsfttqsmqny2t7vekwe32dug4","2021-01-01T00:00:00.000Z",,"2021-12-31T00:00:00.000Z",,"ACT Commodities Inc.","437 Madison Ave. Suite 17A, New York, NY, 10022, USA","BE",,76000000,,"GO",,"solar","2021-06-30",,"2022-06-30",
"20220501_ACT_PL_transaction_1_attestation_14","20220530_GOs_BE.pdf","bafkreihqtnzlep3ip63enp2prqw4kcrcmdjwhop43cj77l7dz7qj5ktbx4","20220510_ACT_PL_transaction_1_delivery_1_certificate_22","bafyreiap5dp2h6pj2rkpblttyl7zcthpspmvmyxgywqqnjpcgx3t346lya","2021-01-01T00:00:00.000Z",,"2021-12-31T00:00:00.000Z",,"ACT Commodities Inc.","437 Madison Ave. Suite 17A, New York, NY, 10022, USA","BE",,14000000,,"GO",,"solar","2021-06-30",,"2022-06-30",
"20220501_ACT_PL_transaction_1_attestation_14","20220530_GOs_BE.pdf","bafkreihqtnzlep3ip63enp2prqw4kcrcmdjwhop43cj77l7dz7qj5ktbx4","20220510_ACT_PL_transaction_1_delivery_1_certificate_23","bafyreie2ft4khzb2wwh2uebj6bpipunpcxuspch6qh7tjvf3vjl366n44q","2021-01-01T00:00:00.000Z",,"2021-12-31T00:00:00.000Z",,"ACT Commodities Inc.","437 Madison Ave. Suite 17A, New York, NY, 10022, USA","BE",,23000000,,"GO",,"solar","2021-06-30",,"2022-06-30",
"20220501_ACT_PL_transaction_1_attestation_14","20220530_GOs_BE.pdf","bafkreihqtnzlep3ip63enp2prqw4kcrcmdjwhop43cj77l7dz7qj5ktbx4","20220510_ACT_PL_transaction_1_delivery_1_certificate_24","bafyreichrjmnuk2em6q7oh4f4pgrn7ivdusslza5d6bm7iggtf67ca4psq","2021-01-01T00:00:00.000Z",,"2021-12-31T00:00:00.000Z",,"ACT Commodities Inc.","437 Madison Ave. Suite 17A, New York, NY, 10022, USA","BE",,23000000,,"GO",,"wind","2021-06-30",,"2022-06-30",
"20220501_ACT_PL_transaction_1_attestation_14","20220530_GOs_BE.pdf","bafkreihqtnzlep3ip63enp2prqw4kcrcmdjwhop43cj77l7dz7qj5ktbx4","20220510_ACT_PL_transaction_1_delivery_1_certificate_25","bafyreicvcbg53efvonzo3ptjnnf5xkpypu6v4kcjakckgmads253gulk7u","2021-01-01T00:00:00.000Z",,"2021-12-31T00:00:00.000Z",,"ACT Commodities Inc.","437 Madison Ave. Suite 17A, New York, NY, 10022, USA","BE",,21000000,,"GO",,"wind","2021-06-30",,"2022-06-30",
"20220501_ACT_PL_transaction_1_attestation_19","Cancellation Statement -01-11872-09.06.2022 s.pdf","bafybeid4e4mkwtkcptd7g3gne342xpy3r5oju4wd4ga4cuaskex32ybfdq","20220510_ACT_PL_transaction_1_delivery_1_certificate_26","bafyreidjhlhizzhbnbq7yby3cnal4cokp4svitcarwk6rztjwi2gecfbia","2021-01-01T00:00:00.000Z",,"2021-12-31T00:00:00.000Z",,"ACT Commodities Inc.","437 Madison Ave. Suite 17A, New York, NY, 10022, USA","BG",,123000000,"SHPP ""Svrazhen"", s. Lakatnik, 2272 GSRN: 201307919000003199","GO",,"hydro","2021-08-01",,"2021-08-31",
