"certificate","volume_MWh","order_folder","contract","minerID"
"20220510_ACT_PL_transaction_1_delivery_1_certificate_1",148,"20220510_ACT_PL_transaction_1_delivery_1","20220501_ACT_PL_transaction_1_contract_3","f024483"
"20220510_ACT_PL_transaction_1_delivery_1_certificate_2",172,"20220510_ACT_PL_transaction_1_delivery_1","20220501_ACT_PL_transaction_1_contract_3","f024483"
"20220510_ACT_PL_transaction_1_delivery_1_certificate_3",2,"20220510_ACT_PL_transaction_1_delivery_1","20220501_ACT_PL_transaction_1_contract_20","f047419"
"20220510_ACT_PL_transaction_1_delivery_1_certificate_3",7,"20220510_ACT_PL_transaction_1_delivery_1","20220501_ACT_PL_transaction_1_contract_20","f010088"
"20220510_ACT_PL_transaction_1_delivery_1_certificate_4",1,"20220510_ACT_PL_transaction_1_delivery_1","20220501_ACT_PL_transaction_1_contract_21","f017215"
"20220510_ACT_PL_transaction_1_delivery_1_certificate_4",1,"20220510_ACT_PL_transaction_1_delivery_1","20220501_ACT_PL_transaction_1_contract_21","f018517"
"20220510_ACT_PL_transaction_1_delivery_1_certificate_4",8,"20220510_ACT_PL_transaction_1_delivery_1","20220501_ACT_PL_transaction_1_contract_21","f019824"
"20220510_ACT_PL_transaction_1_delivery_1_certificate_4",1,"20220510_ACT_PL_transaction_1_delivery_1","20220501_ACT_PL_transaction_1_contract_21","f021418"
"20220510_ACT_PL_transaction_1_delivery_1_certificate_6",44,"20220510_ACT_PL_transaction_1_delivery_1","20220501_ACT_PL_transaction_1_contract_23","f0717969"
"20220510_ACT_PL_transaction_1_delivery_1_certificate_7",65,"20220510_ACT_PL_transaction_1_delivery_1","20220501_ACT_PL_transaction_1_contract_23","f0717969"
"20220510_ACT_PL_transaction_1_delivery_1_certificate_8",90,"20220510_ACT_PL_transaction_1_delivery_1","20220501_ACT_PL_transaction_1_contract_23","f0717969"
"20220510_ACT_PL_transaction_1_delivery_1_certificate_8",17,"20220510_ACT_PL_transaction_1_delivery_1","20220501_ACT_PL_transaction_1_contract_23","f047419"
"20220510_ACT_PL_transaction_1_delivery_1_certificate_9",59,"20220510_ACT_PL_transaction_1_delivery_1","20220501_ACT_PL_transaction_1_contract_24","f0855584"
"20220510_ACT_PL_transaction_1_delivery_1_certificate_10",156,"20220510_ACT_PL_transaction_1_delivery_1","20220501_ACT_PL_transaction_1_contract_24","f0855584"
"20220510_ACT_PL_transaction_1_delivery_1_certificate_10",2,"20220510_ACT_PL_transaction_1_delivery_1","20220501_ACT_PL_transaction_1_contract_24","f02301"
"20220510_ACT_PL_transaction_1_delivery_1_certificate_11",100,"20220510_ACT_PL_transaction_1_delivery_1","20220501_ACT_PL_transaction_1_contract_24","f02301"
"20220510_ACT_PL_transaction_1_delivery_1_certificate_11",87,"20220510_ACT_PL_transaction_1_delivery_1","20220501_ACT_PL_transaction_1_contract_24","f058374"
"20220510_ACT_PL_transaction_1_delivery_1_certificate_12",10,"20220510_ACT_PL_transaction_1_delivery_1","20220501_ACT_PL_transaction_1_contract_24","f058374"
"20220510_ACT_PL_transaction_1_delivery_1_certificate_12",94,"20220510_ACT_PL_transaction_1_delivery_1","20220501_ACT_PL_transaction_1_contract_24","f0501283"
"20220510_ACT_PL_transaction_1_delivery_1_certificate_12",29,"20220510_ACT_PL_transaction_1_delivery_1","20220501_ACT_PL_transaction_1_contract_24","f0393016"
"20220510_ACT_PL_transaction_1_delivery_1_certificate_12",21,"20220510_ACT_PL_transaction_1_delivery_1","20220501_ACT_PL_transaction_1_contract_24","f0126097"
"20220510_ACT_PL_transaction_1_delivery_1_certificate_12",8,"20220510_ACT_PL_transaction_1_delivery_1","20220501_ACT_PL_transaction_1_contract_24","f0440182"
"20220510_ACT_PL_transaction_1_delivery_1_certificate_12",5,"20220510_ACT_PL_transaction_1_delivery_1","20220501_ACT_PL_transaction_1_contract_24","f0838893"
