"attestation_id","smart_contract_address","batchID","network","zl_protocol_version","minerID","beneficiary","redemption_purpose","attestation_folder"
"20220607_SP_FF_transaction_2_attestation_0","0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",3909,246,"ZL 1.0.0","f073552","Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3909 - Filecoin minerID f073552","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 0. The certificates will be created as tokens of type ERC1888-Topic1 This redemption is matched to Filecoin minerID f073552","20220607_SP_FF_delivery"
"20220607_SP_FF_transaction_2_attestation_1","0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",3910,246,"ZL 1.0.0","f073628","Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3910 - Filecoin minerID f073628","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 1. The certificates will be created as tokens of type ERC1888-Topic1 This redemption is matched to Filecoin minerID f073628","20220607_SP_FF_delivery"
"20220607_SP_FF_transaction_2_attestation_2","0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",3911,246,"ZL 1.0.0","f073697","Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3911 - Filecoin minerID f073697","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 2. The certificates will be created as tokens of type ERC1888-Topic1 This redemption is matched to Filecoin minerID f073697","20220607_SP_FF_delivery"
"20220607_SP_FF_transaction_2_attestation_3","0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",3912,246,"ZL 1.0.0","f078522","Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3912 - Filecoin minerID f078522","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 3. The certificates will be created as tokens of type ERC1888-Topic1 This redemption is matched to Filecoin minerID f078522","20220607_SP_FF_delivery"
"20220607_SP_FF_transaction_2_attestation_4","0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",3913,246,"ZL 1.0.0","f078772","Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3913 - Filecoin minerID f078772","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 4. The certificates will be created as tokens of type ERC1888-Topic1 This redemption is matched to Filecoin minerID f078772","20220607_SP_FF_delivery"
"20220607_SP_FF_transaction_2_attestation_5","0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",3914,246,"ZL 1.0.0","f079197","Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3914 - Filecoin minerID f079197","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 5. The certificates will be created as tokens of type ERC1888-Topic1 This redemption is matched to Filecoin minerID f079197","20220607_SP_FF_delivery"
"20220607_SP_FF_transaction_2_attestation_6","0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",3915,246,"ZL 1.0.0","f079247","Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3915 - Filecoin minerID f079247","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 6. The certificates will be created as tokens of type ERC1888-Topic1 This redemption is matched to Filecoin minerID f079247","20220607_SP_FF_delivery"
"20220607_SP_FF_transaction_2_attestation_7","0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",3916,246,"ZL 1.0.0","f079301","Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3916 - Filecoin minerID f079301","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 7. The certificates will be created as tokens of type ERC1888-Topic1 This redemption is matched to Filecoin minerID f079301","20220607_SP_FF_delivery"
"20220607_SP_FF_transaction_2_attestation_8","0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",3917,246,"ZL 1.0.0","f079426","Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3917 - Filecoin minerID f079426","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 8. The certificates will be created as tokens of type ERC1888-Topic1 This redemption is matched to Filecoin minerID f079426","20220607_SP_FF_delivery"
"20220607_SP_FF_transaction_2_attestation_9","0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",3918,246,"ZL 1.0.0","f079618","Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3918 - Filecoin minerID f079618","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 9. The certificates will be created as tokens of type ERC1888-Topic1 This redemption is matched to Filecoin minerID f079618","20220607_SP_FF_delivery"
