contract_id,productType,label,energySources,contractDate,deliveryDate,reportingStart,reportingEnd,sellerName,sellerAddress,country,region,volume_MWh,step3_match_complete,step4_ZL_contract_complete,step5_redemption_data_complete,step6_attestation_info_complete,step7_certificates_matched_to_supply,step8_IPLDrecord_complete,step9_transaction_complete,step10_volta_complete,step11_finalRecord_complete
20220916_SP_FF_transaction_3_contract_1,IREC,,hydro,20220916,20221030,2021-01-01,2021-06-30,SP Carbon Solutions Pte Ltd,"2 Kallang Sector, SP Group Building, Singapore 349277",CN,,73064,,,,,,,,,
20220916_SP_FF_transaction_3_contract_2,IREC,,wind,20220916,20221030,2021-01-01,2021-09-30,SP Carbon Solutions Pte Ltd,"2 Kallang Sector, SP Group Building, Singapore 349277",CN,,7913,,,,,,,,,
20220916_SP_FF_transaction_3_contract_3,IREC,,wind,20220916,20221030,2021-08-01,2021-11-30,SP Carbon Solutions Pte Ltd,"2 Kallang Sector, SP Group Building, Singapore 349277",CN,,15343,,,,,,,,,
20220916_SP_FF_transaction_3_contract_4,IREC,,hydro,20220916,20221030,2021-02-01,2021-06-30,SP Carbon Solutions Pte Ltd,"2 Kallang Sector, SP Group Building, Singapore 349277",CN,,13185,,,,,,,,,
20220916_SP_FF_transaction_3_contract_5,IREC,,wind,20220916,20221030,2021-12-01,2021-12-31,SP Carbon Solutions Pte Ltd,"2 Kallang Sector, SP Group Building, Singapore 349277",CN,,13667,,,,,,,,,
20220916_SP_FF_transaction_3_contract_6,IREC,,hydro,20220916,20221030,2021-07-01,2021-12-31,SP Carbon Solutions Pte Ltd,"2 Kallang Sector, SP Group Building, Singapore 349277",CN,,58318,,,,,,,,,
20220916_SP_FF_transaction_3_contract_7,IREC,,hydro,20220916,20221030,2021-07-01,2021-12-31,SP Carbon Solutions Pte Ltd,"2 Kallang Sector, SP Group Building, Singapore 349277",CN,,52511,,,,,,,,,
20220916_SP_FF_transaction_3_contract_8,IREC,,wind,20220916,20221030,2022-01-01,2022-03-31,SP Carbon Solutions Pte Ltd,"2 Kallang Sector, SP Group Building, Singapore 349277",CN,,63367,,,,,,,,,
20220916_SP_FF_transaction_3_contract_9,IREC,,wind,20220916,20221030,2022-04-01,2022-06-30,SP Carbon Solutions Pte Ltd,"2 Kallang Sector, SP Group Building, Singapore 349277",CN,,62965,,,,,,,,,
20220916_SP_FF_transaction_3_contract_10,IREC,,wind,20220916,20221115,2022-07-01,2022-09-30,SP Carbon Solutions Pte Ltd,"2 Kallang Sector, SP Group Building, Singapore 349277",CN,,61420,,,,,,,,,
20220916_SP_FF_transaction_3_contract_11,IREC,,wind,20220916,20221115,2022-10-01,2022-12-31,SP Carbon Solutions Pte Ltd,"2 Kallang Sector, SP Group Building, Singapore 349277",CN,,62193,,,,,,,,,
20220916_SP_FF_transaction_3_contract_12,IREC,,solar,20220916,20221030,2022-01-01,2022-02-28,SP Carbon Solutions Pte Ltd,"2 Kallang Sector, SP Group Building, Singapore 349277",TH,,255,,,,,,,,,
20220916_SP_FF_transaction_3_contract_13,IREC,,solar,20220916,20221030,2022-03-01,2022-04-30,SP Carbon Solutions Pte Ltd,"2 Kallang Sector, SP Group Building, Singapore 349277",TH,,255,,,,,,,,,
20220916_SP_FF_transaction_3_contract_14,IREC,,solar,20220916,20221030,2022-05-01,2022-06-30,SP Carbon Solutions Pte Ltd,"2 Kallang Sector, SP Group Building, Singapore 349277",TH,,255,,,,,,,,,
20220916_SP_FF_transaction_3_contract_15,IREC,,solar,20220916,20221130,2022-07-01,2022-08-31,SP Carbon Solutions Pte Ltd,"2 Kallang Sector, SP Group Building, Singapore 349277",TH,,255,,,,,,,,,
20220916_SP_FF_transaction_3_contract_16,IREC,,solar,20220916,20230130,2022-09-01,2022-10-31,SP Carbon Solutions Pte Ltd,"2 Kallang Sector, SP Group Building, Singapore 349277",TH,,255,,,,,,,,,
20220916_SP_FF_transaction_3_contract_17,IREC,,solar,20220916,20230130,2022-11-01,2022-12-31,SP Carbon Solutions Pte Ltd,"2 Kallang Sector, SP Group Building, Singapore 349277",TH,,255,,,,,,,,,
