"attestation_id","redemption_process","contract_id","allocation_id","smart_contract_address","batchID","network","zl_protocol_version","minerID","beneficiary","beneficiary_country","beneficiary_location","supply_country","volume_required","start_date","end_date","redemption_purpose","attestation_folder"
"20221024_SouthPole_FF_transaction_1_attestation_1","manual","20221024_SouthPole_FF_transaction_1_contract_2",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",6190,246,"ZL 1.0.0",,"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 6190",,,,,,,"The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 6190. The certificates will be created as tokens of type ERC1888-Topic1",
"20221024_SouthPole_FF_transaction_1_attestation_2","manual","20221024_SouthPole_FF_transaction_1_contract_22",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",6191,246,"ZL 1.0.0",,"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 6191",,,,,,,"The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 6191. The certificates will be created as tokens of type ERC1888-Topic1",
"20221024_SouthPole_FF_transaction_1_attestation_3","manual","20221024_SouthPole_FF_transaction_1_contract_1",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",0xae2ea3855b019082b667b30f2f864bce8fb2498a6addd6919d3607a476bc3bd9,246,"ZLv1.1.0a",,"CID:QmP67xNEs1j1uvRNngdGJ5HTFu7dcobpeS2w6PLdpKmkpd","FR",,"FR","4156","2021-09-01","2021-09-30","Zero Labs Tokenization - go to ipfs.io/ipfs/_CID_","20221024_SouthPole_FF_transaction_1_delivery"
"20221024_SouthPole_FF_transaction_1_attestation_4","manual","20221024_SouthPole_FF_transaction_1_contract_3",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",0x16795a8b1b7f661592def87fa04cbf75c878bf17ee8b8d4efd0f6c250becd1f5,246,"ZLv1.1.0a",,"CID:QmUz4va4m7Tdx3ztB1ZmHVHMuh5wamQqjSvVPYf3bVzPXf","FR",,"FR","4987","2022-01-01","2022-03-31","Zero Labs Tokenization - go to ipfs.io/ipfs/_CID_","20221024_SouthPole_FF_transaction_1_delivery"
"20221024_SouthPole_FF_transaction_1_attestation_5","manual","20221024_SouthPole_FF_transaction_1_contract_4",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",0x41504f65b2d661a677ed9c65da55da2a066e470c3de9dc9413a33fd68d6abc54,246,"ZLv1.1.0a",,"CID:QmPw9zkHvhLrACnHycBzUY3svK77amJYqJwXzMn7Jo64pL","FR",,"FR","4811","2022-04-01","2022-06-30","Zero Labs Tokenization - go to ipfs.io/ipfs/_CID_","20221024_SouthPole_FF_transaction_1_delivery"
"20221024_SouthPole_FF_transaction_1_attestation_6","manual","20221024_SouthPole_FF_transaction_1_contract_5",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",0x593dbcca77299b776b6d967ca495c1da7bd604bc965a3763fc07b3b7309bb4c3,246,"ZLv1.1.0a",,"CID:QmWaMwpGMG4gopF27D25mMu9NfC6EunDUvr3czTKJiGFFN","FR",,"FR","5208","2022-07-01","2022-09-30","Zero Labs Tokenization - go to ipfs.io/ipfs/_CID_","20221024_SouthPole_FF_transaction_1_delivery"
"20221024_SouthPole_FF_transaction_1_attestation_7","manual","20221024_SouthPole_FF_transaction_1_contract_6",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",0x028879801e87ef66e3e7f6ce2c952f8dc3ece95792dd1638a29a0edced8180ce,246,"ZLv1.1.0a",,"CID:QmcpfEVPBF7fkz9q9B68TiFKArBNyghVMFuHkwwcbgFPwN","FR",,"FR","5010","2022-10-01","2022-12-31","Zero Labs Tokenization - go to ipfs.io/ipfs/_CID_","20221024_SouthPole_FF_transaction_1_delivery"
"20221024_SouthPole_FF_transaction_1_attestation_8","manual","20221024_SouthPole_FF_transaction_1_contract_7",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",0x3991a735bd335b5d36d30d1e5ed51fd2b4e7d3e2015add4822faeee8ba314a41,246,"ZLv1.1.0a",,"CID:QmWK3cu2SYTq7JF1vGCJuYSdz9V9hwVCrB7rgkH5MTKk9h","ID",,"ID","12","2020-01-01","2020-12-31","Zero Labs Tokenization - go to ipfs.io/ipfs/_CID_","20221024_SouthPole_FF_transaction_1_delivery"
"20221024_SouthPole_FF_transaction_1_attestation_9","manual","20221024_SouthPole_FF_transaction_1_contract_8",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",0x8305087433f17fc3e7bc7676b70e591753aac2f0ed467b3047621517be9f31cd,246,"ZLv1.1.0a",,"CID:QmNf7jwCnvcLpVutuzTHzJ7eHNMJWnZtUeFp8h5UHXRxFB","ID",,"ID","400","2021-01-01","2021-12-31","Zero Labs Tokenization - go to ipfs.io/ipfs/_CID_","20221024_SouthPole_FF_transaction_1_delivery"
"20221024_SouthPole_FF_transaction_1_attestation_10","manual","20221024_SouthPole_FF_transaction_1_contract_9",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",0x051821f7d99cfe15105bded0c37e4bcf4cb4f8b7351dad43c73da715eae92a0b,246,"ZLv1.1.0a",,"CID:QmW4nWbmBqPVeoEF9pa7rTszumAzKeksqdfSnbX49mvxwG","ID",,"ID","324","2022-01-01","2022-12-31","Zero Labs Tokenization - go to ipfs.io/ipfs/_CID_","20221024_SouthPole_FF_transaction_1_delivery"
