attestation_id,attestation_file,attestation_cid,certificate,certificate_cid,reportingStart,reportingStartTimezoneOffset,reportingEnd,reportingEndTimezoneOffset,sellerName,sellerAddress,country,region,volume_MWh,volume_Wh,generatorName,productType,label,energySource,generationStart,generationStartTimezoneOffset,generationEnd,generationEndTimezoneOffset
20220501_ACT_PL_transaction_1_attestation_1,0x2248a8E53c8cf533AEEf2369 FfF9Dc8C036c8900-795.pdf,,20220510_ACT_PL_transaction_1_delivery_1_certificate_1,,2021-01-01T00:00:00.000Z,,2021-12-31T00:00:00.000Z,,ACT Commodities Inc.,"437 Madison Ave. Suite 17A, New York, NY, 10022, USA",DE,,148,148000000,WP-Seiwerath 1,GO,,wind,2021-03-01T00:00:00.000Z,,2021-03-31T00:00:00.000Z,
20220501_ACT_PL_transaction_1_attestation_1,0x2248a8E53c8cf533AEEf2369 FfF9Dc8C036c8900-795.pdf,,20220510_ACT_PL_transaction_1_delivery_1_certificate_2,,2021-01-01T00:00:00.000Z,,2021-12-31T00:00:00.000Z,,ACT Commodities Inc.,"437 Madison Ave. Suite 17A, New York, NY, 10022, USA",DE,,172,172000000,WP-Seiwerath 1,GO,,wind,2021-03-01T00:00:00.000Z,,2021-03-31T00:00:00.000Z,
20220501_ACT_PL_transaction_1_attestation_2,0x2248a8E53c8cf533AEEf2369 FfF9Dc8C036c8900-796.pdf,,20220510_ACT_PL_transaction_1_delivery_1_certificate_3,,,,,,ACT Commodities Inc.,"437 Madison Ave. Suite 17A, New York, NY, 10022, USA",USA,MRO,9,9000000,Buckeye Wind Farm,REC,,wind,,,,
20220501_ACT_PL_transaction_1_attestation_3,0x2248a8E53c8cf533AEEf2369 FfF9Dc8C036c8900-797.pdf,,20220510_ACT_PL_transaction_1_delivery_1_certificate_4,,,,,,ACT Commodities Inc.,"437 Madison Ave. Suite 17A, New York, NY, 10022, USA",USA,MRO,11,11000000,Buckeye Wind Farm,REC,,wind,,,,
20220501_ACT_PL_transaction_1_attestation_4,0x2248a8E53c8cf533AEEf2369 FfF9Dc8C036c8900-798.pdf,,20220510_ACT_PL_transaction_1_delivery_1_certificate_5,,2021-01-01T00:00:00.000Z,,2021-12-31T00:00:00.000Z,,ACT Commodities Inc.,"437 Madison Ave. Suite 17A, New York, NY, 10022, USA",USA,WECC,4039,4039000000,Spring Canyon II Wind Energy Center,REC,GREEN-E,wind,2020-09-01T00:00:00.000Z,,2020-09-30T00:00:00.000Z,
20220501_ACT_PL_transaction_1_attestation_5,0x2248a8E53c8cf533AEEf2369 FfF9Dc8C036c8900-799.pdf,,20220510_ACT_PL_transaction_1_delivery_1_certificate_6,,,,,,ACT Commodities Inc.,"437 Madison Ave. Suite 17A, New York, NY, 10022, USA",USA,MRO,44,44000000,Buckeye Wind Farm,REC,,wind,,,,
20220501_ACT_PL_transaction_1_attestation_5,0x2248a8E53c8cf533AEEf2369 FfF9Dc8C036c8900-799.pdf,,20220510_ACT_PL_transaction_1_delivery_1_certificate_7,,,,,,ACT Commodities Inc.,"437 Madison Ave. Suite 17A, New York, NY, 10022, USA",USA,MRO,65,65000000,Buckeye Wind Farm,REC,,wind,,,,
20220501_ACT_PL_transaction_1_attestation_5,0x2248a8E53c8cf533AEEf2369 FfF9Dc8C036c8900-799.pdf,,20220510_ACT_PL_transaction_1_delivery_1_certificate_8,,,,,,ACT Commodities Inc.,"437 Madison Ave. Suite 17A, New York, NY, 10022, USA",USA,MRO,107,107000000,Buckeye Wind Farm,REC,,wind,,,,
20220501_ACT_PL_transaction_1_attestation_6,0x2248a8E53c8cf533AEEf2369 FfF9Dc8C036c8900-800.pdf,,20220510_ACT_PL_transaction_1_delivery_1_certificate_9,,,,,,ACT Commodities Inc.,"437 Madison Ave. Suite 17A, New York, NY, 10022, USA",USA,MRO,59,59000000,Buckeye Wind Farm,REC,,wind,,,,
20220501_ACT_PL_transaction_1_attestation_6,0x2248a8E53c8cf533AEEf2369 FfF9Dc8C036c8900-800.pdf,,20220510_ACT_PL_transaction_1_delivery_1_certificate_10,,,,,,ACT Commodities Inc.,"437 Madison Ave. Suite 17A, New York, NY, 10022, USA",USA,MRO,158,158000000,Buckeye Wind Farm,REC,,wind,,,,
