"minerID","country","pageUrl","deliveredEACs_MWh","openEACContracts_MWh","AllEACs_MWh","EnergyConsumed_Upper_MWh","Renewable_Consumed_Ratio"
"f01051178","CN","https://proofs.zerolabs.green/partners/filecoin/nodes/f01051178/beneficiary",168,225,393,1015.6361173309584,0.3869496104892219
"f066596","US","https://proofs.zerolabs.green/partners/filecoin/nodes/f066596/beneficiary",261,84,345,429.92615614094586,0.8024633883566183
"f0763337","US","https://proofs.zerolabs.green/partners/filecoin/nodes/f0763337/beneficiary",239,130,369,447.8816459400208,0.823878369084621
"f01234","BE","https://proofs.zerolabs.green/partners/filecoin/nodes/f01234/beneficiary",98,162,260,241.23872811634328,1.0777705637488215
"f0720636","BE","https://proofs.zerolabs.green/partners/filecoin/nodes/f0720636/beneficiary",93,263,356,652.8563661133098,0.5452960535858704
"f02576","DK","https://proofs.zerolabs.green/partners/filecoin/nodes/f02576/beneficiary",35,42,77,64.88668237028644,1.1866841882990247
"f022142","US","https://proofs.zerolabs.green/partners/filecoin/nodes/f022142/beneficiary",42,25,67,70.03487896849776,0.9566661781501347
"f01278","US","https://proofs.zerolabs.green/partners/filecoin/nodes/f01278/beneficiary",35,0,35,23.92570331902193,1.462861907686264
"f01051828","US","https://proofs.zerolabs.green/partners/filecoin/nodes/f01051828/beneficiary",44,3,47,40.69628038414831,1.154896702016705
"f0678914","US","https://proofs.zerolabs.green/partners/filecoin/nodes/f0678914/beneficiary",39,3,42,42.66902954386645,0.9843204883959537
"f0828066","US","https://proofs.zerolabs.green/partners/filecoin/nodes/f0828066/beneficiary",33,2,35,30.759858930611053,1.1378465707191303
"f01045784","US","https://proofs.zerolabs.green/partners/filecoin/nodes/f01045784/beneficiary",2,2,4,0.8132813492664709,4.91834714223774
"f0728347","US","https://proofs.zerolabs.green/partners/filecoin/nodes/f0728347/beneficiary",4,2,6,0.6418719525200102,9.347658791514109
"f019104","CA","https://proofs.zerolabs.green/partners/filecoin/nodes/f019104/beneficiary",7,8,15,19.567961836753177,0.7665591401464468
"f098770","US","https://proofs.zerolabs.green/partners/filecoin/nodes/f098770/beneficiary",22,5,27,32.09105956671792,0.8413558282133531
"f0127595","DE","https://proofs.zerolabs.green/partners/filecoin/nodes/f0127595/beneficiary",0,25241,25241,36132.489418093646,0.6985679759823125
"f0688165","DE","https://proofs.zerolabs.green/partners/filecoin/nodes/f0688165/beneficiary",0,17636,17636,33348.593088959016,0.5288379018855488
"f0128559","DE","https://proofs.zerolabs.green/partners/filecoin/nodes/f0128559/beneficiary",0,15979,15979,22689.60302586596,0.7042432598659427
"f02770","DE","https://proofs.zerolabs.green/partners/filecoin/nodes/f02770/beneficiary",0,18141,18141,25847.276431759026,0.7018534447099354
"f02775","DE","https://proofs.zerolabs.green/partners/filecoin/nodes/f02775/beneficiary",0,5361,5361,8333.04808412181,0.643342021536526
"f014365","AU","https://proofs.zerolabs.green/partners/filecoin/nodes/f014365/beneficiary",0,14,14,8.01490639489277,1.7467452906151255
"f01175097","US","https://proofs.zerolabs.green/partners/filecoin/nodes/f01175097/beneficiary",0,9,9,95.13986316788781,0.09459757141040051
