,,,,,,,,
,,,34,35,,,,
,Country / Territory / Island,Country ISO-3,IEA 2020,IEA 2021 Estimated,"IFI Operating Marginal Grid Emission Factors 2020, 
gCO2/kWh (including for use in PCAF GHG accounting)",WT MOER in gCO2/kWh,"WattTime 
Marginal Rates, 
lbs/MWh (MOER V3.2 mean of year 2022)",Justification for Difference
,Afghanistan,AFG,..,..,414,-,not yet covered by  WT,
,Albania,ALB,0,0,0,-,not yet covered by  WT,
,Algeria,DZA,486.7,..,528,-,not yet covered by  WT,
,American Samoa (U.S.),ASM,486.7,..,753,-,not yet covered by  WT,
,Andorra,AND,486.7,..,188,-,not yet covered by  WT,
,Angola,AGO,238.6,..,1476,-,not yet covered by  WT,
,Anguilla (U.K.),AIA,..,..,753,-,not yet covered by  WT,
,Antigua and Barbuda,ATG,..,..,753,-,not yet covered by  WT,
,Argentina,ARG,272.6,290.9,478,-,not yet covered by  WT,
,Armenia,ARM,181.3,198,390,-,not yet covered by  WT,
,Aruba,ABW,..,..,753,-,not yet covered by  WT,
,Australia,AUS,678.3,649.1,808,639,1409,"Many BAs within, each one has different rates."
,Austria,AUT,119.3,131,242,632,1394,
,Azerbaijan,AZE,439.6,428.3,534,-,not yet covered by  WT,
,Azores (Portugal),,439.6,428.3,753,-,not yet covered by  WT,
,Bahamas,BHS,..,..,753,-,not yet covered by  WT,
,Bahrain,BHR,698.7,..,726,-,not yet covered by  WT,
,Bangladesh,BGD,543.7,..,528,-,not yet covered by  WT,
,Barbados,BRB,..,..,749,-,not yet covered by  WT,
,Belarus,BLR,363.5,..,400,-,not yet covered by  WT,
,Belgium,BEL,163.9,129.9,252,430,947,
,Belize,BLZ,..,..,403,-,not yet covered by  WT,
,Benin,BEN,510.9,..,745,-,not yet covered by  WT,
,Bermuda (U.K.),BMU,510.9,..,753,-,not yet covered by  WT,
,Bhutan,BTN,..,..,0,-,not yet covered by  WT,
,"Bolivia, Plurinational State of",BOL,95.8,..,604,-,not yet covered by  WT,
,Bonaire (Netherland),,95.8,..,753,-,not yet covered by  WT,
,Bosnia and Herzegovina,BIH,796,684.6,1197,-,not yet covered by  WT,
,Botswana,BWA,1351,..,1486,-,not yet covered by  WT,
,Brazil,BRA,93.1,132.8,284,-,not yet covered by  WT,
,British Virgin Islands (U.K.),VGB,93.1,132.8,753,-,not yet covered by  WT,
,Brunei Darussalam,BRN,891.2,..,681,-,not yet covered by  WT,
,Bulgaria,BGR,373.3,403.1,911,-,not yet covered by  WT,
,Burkina Faso,BFA,..,..,753,-,not yet covered by  WT,
,Burundi,BDI,..,..,414,-,not yet covered by  WT,
,Cambodia,KHM,493.7,..,1046,-,not yet covered by  WT,
,Cameroon,CMR,274.8,..,659,-,not yet covered by  WT,
