ADDRESS,LOCATION,DATA
f01662887,Asia [SG],"Power
43.39 PiB
Free space
8.81 PiB
Used space
39.09 TiB
Cost
0.00000144 FIL ⇄ $0.0000115 USD per GiB per day
Verified cost
0 FIL ⇄ $0.00 USD per GiB per day
Total deal count
1251
Average deal cost
0 FIL ⇄ $0.00 USD per deal
Total storage cost
0 FIL ⇄ $0.00 USD"
f01479781,Asia [SG],"Power
41.02 PiB
Free space
28.74 PiB
Used space
61.70 TiB
Cost
0 FIL ⇄ $0.00 USD per GiB per day
Verified cost
0 FIL ⇄ $0.00 USD per GiB per day
Total deal count
1988
Average deal cost
0.00000000000001006 FIL ⇄ $0.00 USD per deal
Total storage cost
0.00000000001999928 FIL ⇄ $0.00 USD"
f01546926,Asia [KR],"Power
3.04 PiB
Free space
1.21 PiB
Used space
24.00 GiB
Cost
2.88 FIL ⇄ $23.0112000 USD per GiB per day
Verified cost
0 FIL ⇄ $0.00 USD per GiB per day
Total deal count
8
Average deal cost
0 FIL ⇄ $0.00 USD per deal
Total storage cost
0 FIL ⇄ $0.00 USD"
f01386984,Asia [CN],"Power
2.77 PiB
Free space
1.23 PiB
Used space
512.00 KiB
Cost
0.00000144 FIL ⇄ $0.0000115 USD per GiB per day
Verified cost
0 FIL ⇄ $0.00 USD per GiB per day
Total deal count
4
Average deal cost
0.00000000002 FIL ⇄ $0.00 USD per deal
Total storage cost
0.00000000008 FIL ⇄ $0.00 USD"
f01606675,Asia [CN],"Power
1.93 PiB
Free space
649.59 TiB
Used space
203.80 TiB
Cost
0 FIL ⇄ $0.00 USD per GiB per day
Verified cost
0 FIL ⇄ $0.00 USD per GiB per day
Total deal count
6524
Average deal cost
0.000000000000003065 FIL ⇄ $0.00 USD per deal
Total storage cost
0.00000000001999606 FIL ⇄ $0.00 USD"
f01606849,Europe [GB],"Power
1.71 PiB
Free space
562.25 TiB
Used space
230.81 TiB
Cost
0 FIL ⇄ $0.00 USD per GiB per day
Verified cost
0 FIL ⇄ $0.00 USD per GiB per day
Total deal count
7448
Average deal cost
0.000000000000002685 FIL ⇄ $0.00 USD per deal
Total storage cost
0.00000000001999788 FIL ⇄ $0.00 USD"
f01602479,Oceania [AU],"Power
1.63 PiB
Free space
587.09 TiB
Used space
227.72 TiB
Cost
0 FIL ⇄ $0.00 USD per GiB per day
Verified cost
0 FIL ⇄ $0.00 USD per GiB per day
Total deal count
7306
Average deal cost
0.000000000000002737 FIL ⇄ $0.00 USD per deal
Total storage cost
0.000000000019996522 FIL ⇄ $0.00 USD"
f01543586,Asia [HK],"Power
1.58 PiB
Free space
956.84 TiB
Used space
128.00 KiB
Cost
0.00000144 FIL ⇄ $0.0000115 USD per GiB per day
Verified cost
0 FIL ⇄ $0.00 USD per GiB per day
Total deal count
1
Average deal cost
0.00000000002 FIL ⇄ $0.00 USD per deal
Total storage cost
0.00000000002 FIL ⇄ $0.00 USD"
f01681808,Europe [BE],"Power
1.36 PiB
Free space
76.34 TiB
Used space
24.00 GiB
Cost
0.0000144 FIL ⇄ $0.0001151 USD per GiB per day
Verified cost
0 FIL ⇄ $0.00 USD per GiB per day
Total deal count
5
Average deal cost
0 FIL ⇄ $0.00 USD per deal
Total storage cost
0 FIL ⇄ $0.00 USD"
f01579009,Asia [KR],"Power
1.10 PiB
Free space
404.06 TiB
Used space
256.00 KiB
Cost
0.00000144 FIL ⇄ $0.0000115 USD per GiB per day
Verified cost
0 FIL ⇄ $0.00 USD per GiB per day
Total deal count
2
Average deal cost
0.00000000002 FIL ⇄ $0.00 USD per deal
Total storage cost
0.00000000004 FIL ⇄ $0.00 USD"
