country_name,country_code,region,2022-1,2022-2,2022-3,2022-4
China,CN,,57250,56779,55087,55933
"Korea, Republic of",KR,,17427,15950,15863,15906.5
Singapore,SG,,16072,10856,9393,10124.5
Hong Kong,HK,,6117,6186,6333,6259.5
United States of America,US,SERC,5909,6001,6201,6101
VietNam,VN,,4326,9026,5789,7407.5
United States of America,US,SPP,2563,2902,3437,3169.5
Germany,DE,,1860,1825,1874,1849.5
United States of America,US,RFC,2002,1929,2096,2012.5
United States of America,US,WECC,2528,2717,2827,2772
Canada,CA,,2921,2211,1844,2027.5
Netherlands,NL,,1682,1563,1921,1742
United States of America,US,MRO,1313,1042,962,1002
Japan,JP,,559,683,640,661.5
Russian Federation,RU,,418,390,412,401
Ireland,IE,,221,224,232,228
Iceland,IS,,282,261,271,266
Belgium,BE,,339,313,284,298.5
United Kingdom of Great Britain and Northern Ireland,GB,,261,484,290,387
Australia,AU,,213,469,330,399.5
United States of America,US,TRE,287,301,291,296
Norway,NO,,166,133,121,127
France,FR,,158,171,126,148.5
Indonesia,ID,,79,80,83,81.5
United States of America,US,,92,115,91,103
Latvia,LV,,61,124,151,137.5
Ukraine,UA,,87,61,68,64.5
United States of America,US,NPCC,74,73,56,64.5
Taiwan,TW,,73,90,129,109.5
Austria,AT,,54,41,43,42
Bulgaria,BG,,66,66,75,70.5
Slovenia,SI,,36,31,48,39.5
Israel,IL,,16,16,17,16.5
Denmark,DK,,18,19,22,20.5
Poland,PL,,14,13,11,12
New Zealand,NZ,,5,5,5,5
Spain,ES,,8,5,7,6
Czechia,CZ,,6,5,5,5
Switzerland,CH,,3,3,3,3
Nigeria,NG,,4,4,4,4
Romania,RO,,2,2,2,2
Sweden,SE,,2,2,2,2
Finland,FI,,3,4,5,4.5
Italy,IT,,2,2,2,2
Portugal,PT,,2,2,2,2
Serbia,RS,,2,2,1,1.5
