country_name,country_code,region,2020-2,2020-3,2020-4,2021-1,2021-2,2021-3,2021-4,2022-1,2022-2,2022-3,2022-4
China,CN,,0,12104,47751,43246,45895,78236,63755,57250,56779,55087,55933
"Korea, Republic of",KR,,0,157,6301,5572,5734,12369,26647,17427,15950,15863,15906.5
Singapore,SG,,0,113,1670,482,526,3084,17223,16072,10856,9393,10124.5
Hong Kong,HK,,0,5542,7234,4975,5723,8592,6590,6117,6186,6333,6259.5
United States of America,US,SERC,0,1467,5929,4621,4488,12173,7017,5909,6001,6201,6101
VietNam,VN,,0,19,3503,3094,2022,8005,6862,4326,9026,5789,7407.5
United States of America,US,SPP,0,100,388,3052,2580,2962,2265,2563,2902,3437,3169.5
Germany,DE,,0,133,3411,2312,2566,1948,1817,1860,1825,1874,1849.5
United States of America,US,RFC,0,92,1810,1395,1386,2104,2249,2002,1929,2096,2012.5
United States of America,US,WECC,0,99,296,353,468,1430,2678,2528,2717,2827,2772
Canada,CA,,0,31,71,113,135,522,3476,2921,2211,1844,2027.5
Netherlands,NL,,0,71,323,517,773,1416,2164,1682,1563,1921,1742
United States of America,US,MRO,0,1,15,60,139,1412,1546,1313,1042,962,1002
Japan,JP,,0,43,132,258,345,676,724,559,683,640,661.5
Russian Federation,RU,,0,1,4,56,281,305,364,418,390,412,401
Ireland,IE,,0,0,298,477,311,226,226,221,224,232,228
Iceland,IS,,0,0,136,133,93,97,758,282,261,271,266
Belgium,BE,,0,3,3,55,91,120,581,339,313,284,298.5
United Kingdom of Great Britain and Northern Ireland,GB,,0,1,14,57,63,45,132,261,484,290,387
Australia,AU,,0,0,0,0,15,40,104,213,469,330,399.5
United States of America,US,TRE,0,0,23,39,18,25,29,287,301,291,296
Norway,NO,,0,1,24,42,90,130,126,166,133,121,127
France,FR,,0,2,9,48,97,46,80,158,171,126,148.5
Indonesia,ID,,0,0,12,45,114,114,127,79,80,83,81.5
United States of America,US,,0,3,24,38,53,58,169,92,115,91,103
Latvia,LV,,0,0,10,42,29,72,60,61,124,151,137.5
Ukraine,UA,,0,1,6,16,25,35,72,87,61,68,64.5
United States of America,US,NPCC,0,1,2,3,29,69,51,74,73,56,64.5
Taiwan,TW,,0,0,0,4,5,21,34,73,90,129,109.5
Austria,AT,,0,1,1,35,87,34,46,54,41,43,42
Bulgaria,BG,,0,1,3,5,7,20,42,66,66,75,70.5
Slovenia,SI,,0,0,0,4,19,8,24,36,31,48,39.5
Israel,IL,,0,0,0,33,35,16,16,16,16,17,16.5
Denmark,DK,,0,5,14,16,16,16,21,18,19,22,20.5
Poland,PL,,0,2,5,3,6,5,8,14,13,11,12
New Zealand,NZ,,0,1,4,13,7,5,5,5,5,5,5
Spain,ES,,0,0,0,1,3,5,4,8,5,7,6
Czechia,CZ,,0,0,0,0,4,3,7,6,5,5,5
Switzerland,CH,,0,0,4,2,2,3,4,3,3,3,3
Nigeria,NG,,0,0,0,0,1,1,10,4,4,4,4
Romania,RO,,0,1,5,4,2,2,2,2,2,2,2
Sweden,SE,,0,3,2,1,2,2,2,2,2,2,2
Finland,FI,,0,0,0,0,0,1,3,3,4,5,4.5
Italy,IT,,0,1,1,1,1,1,2,2,2,2,2
Portugal,PT,,0,0,0,0,0,1,1,2,2,2,2
Serbia,RS,,0,0,0,0,0,0,1,2,2,1,1.5
