"transaction","contract_id","reportingStart","reportingEnd","country","region","contract_volume_MWh","allocation_id","minerID","miner locations","allocation_volume_MWh","energy_use"
"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_contract_1","2021-01-01","2021-12-31","US",,287,"20210831_EW_PL_transaction_1_allocation_1","f01045784","",1,0.115870380868416
"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_contract_1","2021-01-01","2021-12-31","US",,287,"20210831_EW_PL_transaction_1_allocation_2","f0728347","",1,0.289465322569056
"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_contract_1","2021-01-01","2021-12-31","US",,287,"20210831_EW_PL_transaction_1_allocation_3","f0678914","",18,15.85969528414464
"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_contract_1","2021-01-01","2021-12-31","US",,287,"20210831_EW_PL_transaction_1_allocation_4","f0763337","",108,262.09339321038857
"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_contract_1","2021-01-01","2021-12-31","US",,287,"20210831_EW_PL_transaction_1_allocation_5","f0828066","",14,10.256981882849281
"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_contract_1","2021-01-01","2021-12-31","US",,287,"20210831_EW_PL_transaction_1_allocation_6","f01051828","",20,25.104702797708544
"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_contract_1","2021-01-01","2021-12-31","US",,287,"20210831_EW_PL_transaction_1_allocation_7","f022142","",24,33.08450321412432
"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_contract_1","2021-01-01","2021-12-31","US",,287,"20210831_EW_PL_transaction_1_allocation_8","f066596","",83,232.57412925795322
"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_contract_1","2021-01-01","2021-12-31","US",,287,"20210831_EW_PL_transaction_1_allocation_9","f01278","",18,11.517439694774401
"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_contract_2","2020-01-01","2020-12-31","US",,31,"20210831_EW_PL_transaction_1_allocation_10","f022142","",1,0.12717450891648
"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_contract_2","2020-01-01","2020-12-31","US",,31,"20210831_EW_PL_transaction_1_allocation_11","f066596","",28,55.531824005542944
"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_contract_2","2020-01-01","2020-12-31","US",,31,"20210831_EW_PL_transaction_1_allocation_12","f01278","",2,0.358647856714848
"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_contract_3","2021-01-01","2021-12-31","NO",,218,"20210831_EW_PL_transaction_1_allocation_13","f01234","",96,170.12874987791335
"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_contract_3","2021-01-01","2021-12-31","NO",,218,"20210831_EW_PL_transaction_1_allocation_14","f0720636","",93,345.084571964549
"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_contract_3","2021-01-01","2021-12-31","NO",,218,"20210831_EW_PL_transaction_1_allocation_15","f02576","",29,30.92261415778963
"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_contract_4","2021-01-01","2021-12-31","CN",,168,"20210831_EW_PL_transaction_1_allocation_16","f01051178","",168,737.813039182791
"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_contract_5","2020-01-01","2020-12-31","NO",,8,"20210831_EW_PL_transaction_1_allocation_17","f01234","",2,0.406043133030144
"20210831_EW_PL_transaction_1","20210831_EW_PL_transaction_1_contract_5","2020-01-01","2020-12-31","NO",,8,"20210831_EW_PL_transaction_1_allocation_18","f02576","",6,4.706111497539168
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_1","2021-08-01","2021-08-31","CN",,1738,"20211115_3D_PL_transaction_1_allocation_1","f0127595","",1738,1737.6802566884544
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_2","2021-07-01","2021-07-31","CN",,3373,"20211115_3D_PL_transaction_1_allocation_2","f0127595","",3373,3380.7534528273522
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_3","2021-05-01","2021-05-31","CN",,1547,"20211115_3D_PL_transaction_1_allocation_3","f0127595","",1547,1545.8998688693575
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_4","2021-06-01","2021-06-30","CN",,1497,"20211115_3D_PL_transaction_1_allocation_4","f0127595","",1497,1496.1340507213736
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_5","2021-08-01","2021-08-31","CN",,3066,"20211115_3D_PL_transaction_1_allocation_5","f0688165","",3066,3739.377687438752
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_6","2021-04-01","2021-04-30","CN",,4685,"20211115_3D_PL_transaction_1_allocation_6","f0127595","",4685,4670.121833992518
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_7","2021-05-01","2021-05-31","CN",,1070,"20211115_3D_PL_transaction_1_allocation_7","f0128559","",1070,1069.1796129483773
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_8","2021-07-01","2021-07-31","CN",,1070,"20211115_3D_PL_transaction_1_allocation_8","f0128559","",1070,1069.3097637791132
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_9","2021-08-01","2021-08-31","CN",,1070,"20211115_3D_PL_transaction_1_allocation_9","f0128559","",1070,1069.3127034407692
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_10","2021-07-01","2021-07-31","CN",,6290,"20211115_3D_PL_transaction_1_allocation_10","f0688165","",6290,6343.022960390687
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_11","2021-06-01","2021-06-30","CN",,1035,"20211115_3D_PL_transaction_1_allocation_11","f0128559","",1035,1034.1098723942757
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_12","2021-01-01","2021-01-31","CN",,952,"20211115_3D_PL_transaction_1_allocation_12","f02770","",952,951.1114502932169
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_13","2021-05-01","2021-05-31","CN",,952,"20211115_3D_PL_transaction_1_allocation_13","f02770","",952,950.500507465312
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_14","2021-07-01","2021-07-31","CN",,952,"20211115_3D_PL_transaction_1_allocation_14","f02770","",952,950.9224216289848
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_15","2021-08-01","2021-08-31","CN",,952,"20211115_3D_PL_transaction_1_allocation_15","f02770","",952,950.9629536693947
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_16","2021-03-01","2021-03-31","CN",,950,"20211115_3D_PL_transaction_1_allocation_16","f02770","",950,950.7811313458099
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_17","2020-07-01","2021-03-31","CN",,1590,"20211115_3D_PL_transaction_1_allocation_17","f02770","",1590,8836.8783924734
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_18","2021-04-01","2021-04-30","CN",,921,"20211115_3D_PL_transaction_1_allocation_18","f02770","",921,920.4421886572691
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_19","2021-06-01","2021-06-30","CN",,921,"20211115_3D_PL_transaction_1_allocation_19","f02770","",921,920.2816030424955
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_20","2021-03-01","2021-03-31","CN",,5946,"20211115_3D_PL_transaction_1_allocation_20","f0127595","",5946,5973.633204136583
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_21","2021-04-01","2021-04-30","CN",,3658,"20211115_3D_PL_transaction_1_allocation_21","f0128559","",3658,3659.114378280542
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_22","2021-02-01","2021-02-28","CN",,860,"20211115_3D_PL_transaction_1_allocation_22","f02770","",860,858.331029080621
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_23","2020-07-01","2021-03-31","CN",,3455,"20211115_3D_PL_transaction_1_allocation_23","f02770","",3455,8836.8783924734
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_24","2021-03-01","2021-03-31","CN",,3752,"20211115_3D_PL_transaction_1_allocation_24","f0128559","",3752,3717.4481121647405
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_25","2021-06-01","2021-06-30","CN",,3545,"20211115_3D_PL_transaction_1_allocation_25","f0688165","",3545,3464.240904800436
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_26","2020-07-01","2021-03-31","CN",,3651,"20211115_3D_PL_transaction_1_allocation_26","f02770","",3651,8836.8783924734
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_27","2021-02-01","2021-02-28","CN",,4497,"20211115_3D_PL_transaction_1_allocation_27","f0127595","",4497,4559.836096693749
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_28","2021-05-01","2021-05-31","CN",,2926,"20211115_3D_PL_transaction_1_allocation_28","f0688165","",2926,2982.562605428807
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_29","2020-07-01","2021-03-31","CN",,268,"20211115_3D_PL_transaction_1_allocation_29","f02775","",268,1431.4605568368056
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_30","2021-03-01","2021-03-31","CN",,265,"20211115_3D_PL_transaction_1_allocation_30","f02775","",265,264.172456223231
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_31","2020-07-01","2021-03-31","CN",,265,"20211115_3D_PL_transaction_1_allocation_31","f02775","",265,1431.4605568368056
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_32","2021-01-01","2021-01-31","CN",,265,"20211115_3D_PL_transaction_1_allocation_32","f02775","",265,264.8995146794001
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_33","2021-05-01","2021-05-31","CN",,265,"20211115_3D_PL_transaction_1_allocation_33","f02775","",265,264.8459533752822
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_34","2021-07-01","2021-07-31","CN",,265,"20211115_3D_PL_transaction_1_allocation_34","f02775","",265,264.81923859065915
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_35","2021-08-01","2021-08-31","CN",,265,"20211115_3D_PL_transaction_1_allocation_35","f02775","",265,264.8174728599427
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_36","2021-02-01","2021-02-28","CN",,2968,"20211115_3D_PL_transaction_1_allocation_36","f0128559","",2968,3049.6944529308466
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_37","2020-07-01","2021-03-31","CN",,257,"20211115_3D_PL_transaction_1_allocation_37","f02775","",257,1431.4605568368056
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_38","2021-04-01","2021-04-30","CN",,257,"20211115_3D_PL_transaction_1_allocation_38","f02775","",257,255.62956740417107
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_39","2021-06-01","2021-06-30","CN",,257,"20211115_3D_PL_transaction_1_allocation_39","f02775","",257,256.2773657818359
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_40","2021-02-01","2021-02-28","CN",,240,"20211115_3D_PL_transaction_1_allocation_40","f02775","",240,239.19277053469327
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_41","2020-07-01","2021-03-31","CN",,2492,"20211115_3D_PL_transaction_1_allocation_41","f02775","",2492,1431.4605568368056
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_42","2020-07-01","2021-03-31","CN",,1985,"20211115_3D_PL_transaction_1_allocation_42","f02770","",1985,8836.8783924734
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_43","2021-01-01","2021-01-31","CN",,1958,"20211115_3D_PL_transaction_1_allocation_43","f0127595","",1958,1916.2615096121447
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_44","2021-04-01","2021-04-30","CN",,1809,"20211115_3D_PL_transaction_1_allocation_44","f0688165","",1809,1732.521582233785
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_45","2021-01-01","2021-01-31","CN",,1356,"20211115_3D_PL_transaction_1_allocation_45","f0128559","",1356,1334.1212002889242
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_46","2021-08-01","2021-08-31","BE",,90,"20211115_3D_PL_transaction_1_allocation_46","f0720636","",90,36.36044490768896
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_47","2021-07-01","2021-07-31","CN",,124,"20211115_3D_PL_transaction_1_allocation_47","f01051178","",124,62.06006027364259
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_48","2021-08-01","2021-08-31","CN",,20,"20211115_3D_PL_transaction_1_allocation_48","f01051178","",20,19.7791752522654
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_49","2021-08-01","2021-08-31","US","WECC",130,"20211115_3D_PL_transaction_1_allocation_49","f0763337","",130,134.95227649527678
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_50","2021-07-01","2021-07-31","BE",,32,"20211115_3D_PL_transaction_1_allocation_50","f01234","",32,21.070137653191104
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_51","2021-08-01","2021-08-31","BE",,31,"20211115_3D_PL_transaction_1_allocation_51","f01234","",31,30.13931198713985
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_52","2021-01-01","2021-01-31","US","WECC",54,"20211115_3D_PL_transaction_1_allocation_52","f066596","",54,55.96923661582262
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_53","2021-03-01","2021-03-31","US","WECC",24,"20211115_3D_PL_transaction_1_allocation_53","f066596","",24,23.541614191650744
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_54","2021-04-01","2021-04-30","US","WECC",13,"20211115_3D_PL_transaction_1_allocation_54","f066596","",13,11.543724614127312
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_55","2021-05-01","2021-05-31","US","WECC",13,"20211115_3D_PL_transaction_1_allocation_55","f066596","",13,12.691684605750455
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_56","2021-06-01","2021-06-30","US","WECC",13,"20211115_3D_PL_transaction_1_allocation_56","f066596","",13,11.908604735786305
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_57","2021-07-01","2021-07-31","US","WECC",14,"20211115_3D_PL_transaction_1_allocation_57","f066596","",14,13.52069654115672
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_58","2021-08-01","2021-08-31","US","WECC",15,"20211115_3D_PL_transaction_1_allocation_58","f066596","",15,14.959448105884295
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_59","2021-07-01","2021-07-31","BE",,102,"20211115_3D_PL_transaction_1_allocation_59","f0720636","",102,96.99761186728418
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_60","2021-07-01","2021-07-31","US","WECC",15,"20211115_3D_PL_transaction_1_allocation_60","f01051828","",15,13.71492026128512
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_61","2021-08-01","2021-08-31","US","WECC",3,"20211115_3D_PL_transaction_1_allocation_61","f01051828","",3,2.284319744750592
